kod-av,rozmiar,producent,ean,seria,styl,typ lampy,materiał,kolor ,źródło światła,model żarówki,moc źródła światła ,oprawa żarówki,barwa światła,ilość źródeł światła,napięcie robocze / sieciowe,średnica abażuru,szerokość całkowita,wysokość całkowita,możliwość ściemniania,ściemniacz,stopień ochrony,klasa ochrony,klasa efektywności energetycznej,strumień świetlny,żarówka w komplecie,cct,regulowana wysokość zawieszenia,wysokość abażuru,wysokość opakowania,szerokość opakowania ,szerokość,wysokość,waga brutto,średnica całkowita,ceny promocyjne,odległość od ściany,wysokość (cm),wysokość zawieszenia,dlugosc opakowania ,kształt podsufitki,szerokość abażuru,długość opakowania,średnica ,alt - ikona produktu,alt - zdjęcia w galerii produktu,podsufitka,grubość abażuru,model,szerokość (cm),kierunek padania światła,kierunek wycięcia,rozmiar rozety,waga gabarytowa eu,średnica podsufitki,wysokość podsufitki,średnica podstawy,długość przewodu ,sposób podłączenia,wysokość minimalna,waga gabarytowa pl,kolor żarówki,żywotność ,waga,kąt wiązki światła,czas rozświetlenia produktu,warunki pracy żarówki,promieniowanie uv,drganie światła,średnica rozety ,kompatybilna z typem ściemniacza,kod_producenta,głębokość (cm),wysokość siedziska (cm),wysokość podłokietników (cm),wymiary,materiał klosza,materiał dodatkowy,szerokość [cm],wysokość [cm],głębokość [cm],typ źródła światła,moc maksymalna,strumień świetlny [lumen],barwa światła [kelvin],średnica klosza [cm],kolor klosza,długość przewodu [cm],materiał przewodu,regulacja wysokości,wysokość minimalna [cm],stopień ochrony ip,materiał podsufitki,szerokość podsufitki [cm],długość podsufitki [cm],produkt złożony,średnica podsufitki [cm],wysokość podsufitki [cm],kolor podsufitki,średnica [cm],kolor uzupełniający,wysokość klosza [cm],szerokość klosza [cm],dostępność kolorystyczna,cechy,zmiana temperatury barwowej,wysokość podstawy,długość produktu (cm),szerokość produktu (cm),wysokość produktu (cm),długość paczki (cm),szerokość paczki (cm),wysokość paczki (cm),odległość od ściany [cm],szerokość podstawy [cm],przeznaczenie/ zastosowanie,wymiary abażuru,materiał siedziska,wysokość siedzenia,głębokość całkowita,materiał nóg,podłokietniki,sztaplowane,przeznaczenie,maksymalne obciążenie,do samodzielnego montażu
LA009/P_F_clear,uniwersalny,ALTAVOLA DESIGN,5902249031744,Modern Glass Bubble,Modern,lampa wisząca,Szkło,transparentny,żarówka,BF-02,40W,E-27,barwa ciepła,1,230V / 230V,25 cm,,150 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,29 cm,,,,,,,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA009/P_A_smoky,uniwersalny,ALTAVOLA DESIGN,5902249031720,Modern Glass Bubble,Modern,lampa wisząca,Szkło,dymny,żarówka,BF-02,40W,E-27,barwa ciepła,1,230V / 230V,25 cm,,150 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,29 cm,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA018/W,uniwersalny,ALTAVOLA DESIGN,5902249031638,KOPENHAGEN LOFT,Vintage,kinkiet,metal,chrom,żarówka,BF-19,40W,E-27,barwa ciepła,1,230V / 230V,12 cm,,,tak,nie zawiera,IP 20,II,D,,nie,,,30 cm,19 cm,,,,,,,14 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA005/P_amber,uniwersalny,ALTAVOLA DESIGN,5902249032338,LONDON LOFT,Industrial,lampa wisząca,Szkło,bursztynowy,żarówka,BF-27,40W,E-27,barwa ciepła,1,230V / 230V,28 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,,,,,,,,,,24 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA005/CO3_amber,uniwersalny,ALTAVOLA DESIGN,5902249031546,LONDON LOFT,Industrial,żyrandol,Szkło,bursztynowy,żarówka,BF-27,40W,E-27,barwa ciepła,3,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,nie,,tak,,,,40 cm,140 cm,,,,,,30-150 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA005/P_clear,uniwersalny,ALTAVOLA DESIGN,5902249030242,LONDON LOFT,Industrial,lampa wisząca,Szkło,transparentny,żarówka,BF-27,40W,E-27,barwa ciepła,1,230V / 230V,28 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,24 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA005/P_smoky,uniwersalny,ALTAVOLA DESIGN,5902249031553,LONDON LOFT,Industrial,lampa wisząca,Szkło,dymny,żarówka,BF-27,40W,E-27,barwa ciepła,1,230V / 230V,28 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,24 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA005/CO3_clear,uniwersalny,ALTAVOLA DESIGN,5902249031416,LONDON LOFT,Industrial,żyrandol,Szkło,transparentny,żarówka,BF-27,40W,E-27,barwa ciepła,3,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,nie,,tak,,,,40 cm,140 cm,,,,,,30-150 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA011/CO3_clear,uniwersalny,ALTAVOLA DESIGN,5902249031393,LONDON LOFT,Industrial,żyrandol,Szkło,transparentny,żarówka,BF-32,40W,E-27,barwa ciepła,3,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,nie,,tak,,,,40 cm,150 cm,,,,,,30-150 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA011/CO3_smoky,uniwersalny,ALTAVOLA DESIGN,5902249031386,LONDON LOFT,Industrial,żyrandol,Szkło,srebrny lustrzany,żarówka,BF-32,40W,E-27,barwa ciepła,3,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,nie,,tak,,,,40 cm,150 cm,,,,,,30-150 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA019/P,uniwersalny,ALTAVOLA DESIGN,5902249030396,PRAGA LOFT,Universal,lampa wisząca,metal,metal,żarówka,E27,40W,E-27,barwa ciepła,1,230V / 230V,38 cm,,140 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,22 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA014/P,uniwersalny,ALTAVOLA DESIGN,5902249030365,WARSAW LOFT,Industrial,lampa wisząca,metal,rdzawy,żarówka,E27,40W,,barwa ciepła,1,230V / 230V,30 cm,,140 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,"27,5 cm",,,,,,,,,,,33 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF27,uniwersalny,ALTAVOLA DESIGN,5902249030440,Edison Bulb,,,Szkło,bursztynowy,,BF-27,40W,E-27,barwa ciepła,,230V / 230V,,,8 cm,tak,,IP 20,II,D,,,,,,,,,,,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF19-LED,uniwersalny,ALTAVOLA DESIGN,5902249031171,Edison Bulb,,,,,żarówka LED,BF-19 LED,6W,E-27,delikatnie ciepła,,230V / 230V,,,14 cm,nie,,IP 20,II,A,806 lm,,2800K,,,,,,,,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La018/W+W,uniwersalny,ALTAVOLA DESIGN,5902249030778,KOPENHAGEN LOFT,Industrial,kinkiet,metal,chrom,żarówka,BF-19,40W,E-27,barwa ciepła,2,230V / 230V,12 cm,,,tak,nie zawiera,IP 20,II,D,,nie,,,30 cm,,,,,,,,14 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA034/CO3,uniwersalny,ALTAVOLA DESIGN,5902249032284,NEW YORK LOFT,Industrial,żyrandol,Szkło,mosiądz,żarówka,BF-19,40W,E-27,barwa ciepła,3,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,nie,,tak,,,,41 cm ,,,,,,,30-150 cm,,Okrągła,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA035/CO3_smoky,uniwersalny,ALTAVOLA DESIGN,5902249030587,NEW YORK LOFT,Industrial,żyrandol,Szkło,mosiądz,żarówka,BF-19,40W,E-27,delikatnie ciepła,3,230V / 230V,20 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,,,tak,27 cm,,,,,,40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
