kod-av,rozmiar,producent,ean,seria,styl,typ lampy,materiał,kolor ,źródło światła,model żarówki,moc źródła światła ,oprawa żarówki,barwa światła,ilość źródeł światła,napięcie robocze / sieciowe,średnica abażuru,szerokość całkowita,wysokość całkowita,możliwość ściemniania,ściemniacz,stopień ochrony,klasa ochrony,klasa efektywności energetycznej,strumień świetlny,żarówka w komplecie,cct,regulowana wysokość zawieszenia,wysokość abażuru,wysokość opakowania,szerokość opakowania ,szerokość,wysokość,waga brutto,średnica całkowita,ceny promocyjne,odległość od ściany,wysokość (cm),wysokość zawieszenia,dlugosc opakowania ,kształt podsufitki,szerokość abażuru,długość opakowania,średnica ,alt - ikona produktu,alt - zdjęcia w galerii produktu,podsufitka,grubość abażuru,model,szerokość (cm),kierunek padania światła,kierunek wycięcia,rozmiar rozety,waga gabarytowa eu,średnica podsufitki,wysokość podsufitki,średnica podstawy,długość przewodu ,sposób podłączenia,wysokość minimalna,waga gabarytowa pl,kolor żarówki,żywotność ,waga,kąt wiązki światła,czas rozświetlenia produktu,warunki pracy żarówki,promieniowanie uv,drganie światła,średnica rozety ,kompatybilna z typem ściemniacza,kod_producenta,głębokość (cm),wysokość siedziska (cm),wysokość podłokietników (cm),wymiary,materiał klosza,materiał dodatkowy,szerokość [cm],wysokość [cm],głębokość [cm],typ źródła światła,moc maksymalna,strumień świetlny [lumen],barwa światła [kelvin],średnica klosza [cm],kolor klosza,długość przewodu [cm],materiał przewodu,regulacja wysokości,wysokość minimalna [cm],stopień ochrony ip,materiał podsufitki,szerokość podsufitki [cm],długość podsufitki [cm],produkt złożony,średnica podsufitki [cm],wysokość podsufitki [cm],kolor podsufitki,średnica [cm],kolor uzupełniający,wysokość klosza [cm],szerokość klosza [cm],dostępność kolorystyczna,cechy,zmiana temperatury barwowej,wysokość podstawy,długość produktu (cm),szerokość produktu (cm),wysokość produktu (cm),długość paczki (cm),szerokość paczki (cm),wysokość paczki (cm),odległość od ściany [cm],szerokość podstawy [cm],przeznaczenie/ zastosowanie,wymiary abażuru,materiał siedziska,wysokość siedzenia,głębokość całkowita,materiał nóg,podłokietniki,sztaplowane,przeznaczenie,maksymalne obciążenie,do samodzielnego montażu
LA059/P_black,uniwersalny,ALTAVOLA DESIGN,5902249034448,Tiffany,,lampa wisząca,metal,czarny matowy,LED,,3W,,delikatnie ciepła,1,230V / 230V,35 cm,,150 cm,nie,,IP 20,II,A+,180 lm,tak,3000K,tak,35 cm,,,,,,35 cm,,,,,11 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA059/T_black,uniwersalny,ALTAVOLA DESIGN,5902249034431,Tiffany,,lampa stołowa,metal,czarny matowy,LED,,3W,,delikatnie ciepła,1,230V / 230V,,35 cm,50 cm,nie,nie zawiera,IP 20,II,A,180 lm,,3000K,,,22 cm,36 cm,,,,,,,,,52 cm,,,,,,,,,,,,,,"8,2 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA009/CO3_Mix 1,uniwersalny,ALTAVOLA DESIGN,5902249036121,Modern Glass Bubble,Modern,żyrandol,Szkło,dymny,żarówka,BF-81,40W,E-27,barwa ciepła,3,230V / 230V,,,,tak,nie zawiera,IP 20,II,D,,nie,,tak,29 cm,,,,,,,,,,,,,,,,szklany żyrandol,piękne żyrandole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA087/PX143_40_3k_black,uniwersalny,ALTAVOLA DESIGN,5902249033526,Linea,,lampa wisząca,aluminium,Czarny,LED - zintegrowany,,32W,,delikatnie ciepła,2,230V / 230V,40 cm,143 cm,160 cm,nie,,IP 44,II,A,1920 lm,,3000K,tak,,,,,,,,,,,,,,,,,ledowe okręgi,czarny ring,,"1,8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA088/PX_3k_black,uniwersalny,ALTAVOLA DESIGN,5902249035230,Linea,,lampa wisząca,aluminium,Czarny,LED - zintegrowany,,47W,,barwa dzienna,3,230V / 230V,60 cm,99 cm,120 cm,nie,,IP 44,II,A,2800 lm,,3000K,tak,,,,,,,,,,,,,,,,,ledowa lampa,czarny ring,,"1,8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA088/PX_3k_black_dimm,uniwersalny,ALTAVOLA DESIGN,5902249035278,Linea,,lampa wisząca,aluminium,Czarny,LED - zintegrowany,,47W,,delikatnie ciepła,3,230V Dimmable,60 cm,99 cm,120 cm,tak,,IP 44,II,A,2800 lm,,3000K,tak,,,,,,,,,,,,,,,,,ledowa lampa,czarny ring,,,,,,,,,,,,,,,,,,,,,,,,,Triak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA089/PR_100_4k_black,uniwersalny,ALTAVOLA DESIGN,5902249035285,Linear,,lampa wisząca,aluminium,Drewno,LED - zintegrowany,,36W,,barwa dzienna,1,230V / 230V,,,120 cm,nie,,IP 44,II,A,2480 lm,,4000K,tak,"4,5 cm",,,,,,,,,,,,,100 cm,,,ledowa lampa,led inspiration ,,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA089/PR_100_3k_white,uniwersalny,ALTAVOLA DESIGN,5902249033465,Linear,,lampa wisząca,aluminium,Biały,LED - zintegrowany,,36W,,delikatnie ciepła,1,230V / 230V,,,120 cm,nie,,IP 44,II,A,2160 lm,,3000K,tak,"4,5 cm",,,,,,,,,,,,,100 cm,,,ledowa lampa,led inspiration ,,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA089/PR_100_3k_black,uniwersalny,ALTAVOLA DESIGN,5902249035292,Linear,,lampa wisząca,aluminium,Drewno,LED - zintegrowany,,36W,,delikatnie ciepła,1,230V / 230V,,,120 cm,nie,,IP 44,II,A,2160 lm,,3000K,tak,"4,5 cm",,,,,,,,,,,,,100 cm,,,ledowa lampa,led inspiration ,,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA089/PR_120_4k_black,uniwersalny,ALTAVOLA DESIGN,5902249033496,Linear,,lampa wisząca,aluminium,Drewno,LED - zintegrowany,,44W,,barwa dzienna,1,230V / 230V,,,120 cm,nie,,IP 44,II,A,3600 lm,,4000K,tak,"4,5 cm",,,,,,,,,,,,,120 cm,,,ledowa lampa,led inspiration ,,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA089/PR_120_3k_white,uniwersalny,ALTAVOLA DESIGN,5902249033489,Linear,,lampa wisząca,aluminium,Biały,LED - zintegrowany,,44W,,delikatnie ciepła,1,230V / 230V,,,120 cm,nie,,IP 44,II,A,2640 lm,,3000K,tak,"4,5 cm",,,,,,,,,,,,,120 cm,,,ledowa lampa,led inspiration ,,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA090/W_45L_4k_black,uniwersalny,ALTAVOLA DESIGN,5902249035346,Led shape,,kinkiet,metal + akryl,Czarny,LED - zintegrowany,SMD2835,7W,,barwa dzienna,1,230V / 230V,,,,nie,,IP 20,II,A,560 lm,,4000K,,,,12 cm,45 cm,23 cm,,,,"7,5 cm",,,,,,,,kinkiet,kinkiet ledowy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA090/W_28L_3k_black,uniwersalny,ALTAVOLA DESIGN,5902249035353,Led shape,,kinkiet,metal + akryl,Czarny,LED - zintegrowany,SMD2835,5W,,delikatnie ciepła,1,230V / 230V,,,,nie,,IP 20,II,A,400 lm,,3000K,,,,,28 cm,14 cm,,,,4 cm,,,8 cm ,,,,,ledowy kinkiet,kinkiet led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA090/W_35L_4k_black,uniwersalny,ALTAVOLA DESIGN,5902249035360,Led shape,,kinkiet,metal + akryl,Czarny,LED - zintegrowany,SMD2835,9W,,barwa dzienna,1,230V / 230V,,,,nie,,IP 20,II,A,720 lm,,4000K,,,,8 cm ,35 cm,10 cm,,,,"0,4 cm",,,,,,,,ledowa,nowoczesny kinkiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA090/W_25o_3k_black,uniwersalny,ALTAVOLA DESIGN,5902249035377,Led shape,,kinkiet,metal + akryl,Czarny,LED - zintegrowany,SMD2835,7W,,delikatnie ciepła,1,AC85-265V,,,,nie,,IP 20,II,A,560 lm,,3000K,,,,,25 cm,25 cm,,,,"0,4 cm",,,,,,,25 cm,kinkiet,lampa led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA082/P_100_3k_white,uniwersalny,ALTAVOLA DESIGN,5902249035384,Led shape,,lampa wisząca,metal,Biały,LED - zintegrowany,,70W,,delikatnie ciepła,1,230V / 230V,,,100 cm,nie,,IP 44,II,A,5600 lm,,3000K,tak,,9 cm,25 cm,,,,,,,,,,,100 cm,,,ledowa lampa,led inspiration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA090/P_100_in_4k_black,uniwersalny,ALTAVOLA DESIGN,5902249035391,Led shape,,lampa wisząca,metal + akryl,Czarny,LED - zintegrowany,,30W,,barwa dzienna,1,230V / 230V,,,100 cm,nie,,IP 20,II,A,2400 lm,,4000K,tak,,,18 cm ,,,,,,,,,9 cm ,,100 cm,,,ledowa lampa,led inspiration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA017/W_chrom,uniwersalny,ALTAVOLA DESIGN,5902249035407,DIGITAL LOFT,Industrial,kinkiet,metal + szkło,chrom,żarówka,BF-19,40W,E-27,barwa ciepła,1,230V / 230V,20 cm,,,tak,nie zawiera,IP 20,II,D,,nie,,,18 cm,,,,,,,,,,,,,,,,dobra cena,dobry wybór,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA017/W_gold,uniwersalny,ALTAVOLA DESIGN,5902249035247,DIGITAL LOFT,Industrial,kinkiet,metal + szkło,złoty,żarówka,BF-19,40W,E-27,barwa ciepła,1,230V / 230V,20 cm,,,tak,nie zawiera,IP 20,II,D,,nie,,,18 cm,,,,,,,,,,,,,,,,dobra cena,dobry wybór,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA017/W_black,uniwersalny,ALTAVOLA DESIGN,5902249035254,DIGITAL LOFT,Industrial,kinkiet,metal + szkło,Czarny,żarówka,BF-19,40W,E-27,barwa ciepła,1,230V / 230V,20 cm,,,tak,nie zawiera,IP 20,II,D,,nie,,,18 cm,,,,,,,,,,,,,,,,dobra cena,dobry wybór,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA017/P3_gold,uniwersalny,ALTAVOLA DESIGN,5902249035421,DIGITAL LOFT,Industrial,lampa wisząca,metal + szkło,złoty,żarówka,BF-19,40W,E-27,barwa ciepła,3,230V / 230V,45 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,18 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA017/P3_black,uniwersalny,ALTAVOLA DESIGN,5902249035223,DIGITAL LOFT,Industrial,lampa wisząca,metal + szkło,Czarny,żarówka,BF-19,40W,E-27,barwa ciepła,3,230V / 230V,45 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,18 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA017/P3_chrom,uniwersalny,ALTAVOLA DESIGN,5902249035438,DIGITAL LOFT,Industrial,lampa wisząca,metal + szkło,chrom,żarówka,BF-19,40W,E-27,barwa ciepła,3,230V / 230V,45 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,nie,,tak,18 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA089/P_120_3k_black_dimm,uniwersalny,ALTAVOLA DESIGN,5902249035568,Linea,,lampa wisząca,aluminium,Czarny,LED - zintegrowany,,15W,,delikatnie ciepła,1,230V Dimmable,,,120 cm,tak,,IP 44,II,A,900 lm,,3000K,tak,"1,8 cm",,,,,,,,,,,9 cm ,,120 cm,,,ledowa lampa,led inspiration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA089/W_38,5_3k_black",uniwersalny,ALTAVOLA DESIGN,5902249035575,Linea,,kinkiet,aluminium,Czarny,LED - zintegrowany,,9W,,delikatnie ciepła,1,230V / 230V,,,,nie,,IP 44,II,A,540 lm,,3000K,,"1,8 cm",,,,,,,30%,,,,,,"38,5 cm",,,ledowa lampa,led inspiration ,,"1,8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA082/W_28o_3k_black,uniwersalny,ALTAVOLA DESIGN,5902249035629,Led shape,,kinkiet,,Czarny,LED - zintegrowany,SMD2835,12W,,delikatnie ciepła,1,230V / 230V,"26,7 cm",,,nie,,IP 44,II,A,960 lm,,3000K,,,,,,,,,20%,,,,,,,,,kinkiet,ledowy kinkiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA075/P_80_in_3k_white_dimm,uniwersalny,ALTAVOLA DESIGN,5902249035711,Led shape,,lampa wisząca,aluminium,Biały,LED - zintegrowany,,99W,,delikatnie ciepła,3,230V Dimmable,60 cm,,120 cm,tak,,IP 44,II,A,5940 lm,,3000K,tak,"1,8 cm",,,,,,,,,,,,,,,,ledowe okręgi,ceiling lamp,,,,,do wewnątrz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA062/P3_black,uniwersalny,ALTAVOLA DESIGN,5902249035872,Lunette,,lampa wisząca,metal,czarny matowy,LED,,6*3W,,delikatnie ciepła,6,230V / 230V,"5,5 cm",38 cm,150 cm,nie,,IP 20,II,A,,tak,,tak,25 cm,18 cm,35 cm,,,,,,,,,,,,45 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA073/P_100_in_3k_gold,uniwersalny,ALTAVOLA DESIGN,5902249035896,Led shape,,lampa wisząca,aluminium,złoty,LED - zintegrowany,,38W,,delikatnie ciepła,1,230V / 230V,100 cm,,120 cm,nie,,IP 44,II,B,2280 lm,,3000K,tak,"1,8 cm",,,,,,,,,,,,,,,,legowy okrąg,ledowa lampa ,,"1,8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA035/CL4_chrom,uniwersalny,ALTAVOLA DESIGN,5902249035933,NEW YORK LOFT,Industrial,żyrandol,Szkło,transparentny +chrom,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,20 cm,,,tak,nie zawiera,IP 20,II,D,,,,tak,27 cm,,,,,,,,,,,,,,,,stylowy żyrandol ,bestseller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA104/W,uniwersalny,ALTAVOLA DESIGN,5902249035797,Vitrum,,kinkiet,metal + akryl,transparentny,LED - zintegrowany,,"7,2W",,delikatnie ciepła,1,230V / 230V,,,,nie,,IP 20,II,A,430 lm,,3000K,,,25 cm,27 cm,25 cm,20 cm,,,,,,,25 cm,,,,,ledowy kinkiet,kinkiet led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA104/CW,uniwersalny,ALTAVOLA DESIGN,5902249035803,Vitrum,,lampa sufitowa,metal + akryl,transparentny,LED - zintegrowany,,"7,2W",,delikatnie ciepła,1,230V / 230V,,,,nie,,IP 20,II,A,430 lm,,3000K,,,25 cm,25 cm,,16 cm,,,,,,,22 cm,,,,20 cm,lampa do hotelu,ledowy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA034/CL4_chrom,uniwersalny,ALTAVOLA DESIGN,5902249035940,NEW YORK LOFT,Industrial,żyrandol,Szkło,chrom,żarówka,BF-19,40W,E-27,barwa ciepła,4,230V / 230V,,113 cm,,tak,nie zawiera,IP 20,II,D,,,,tak,,,,,,,,,,,30-150 cm,,,,,,bestsellery ,piękne żyrandole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA073/P_80_in_3k_gold,uniwersalny,ALTAVOLA DESIGN,5902249036909,Led shape,,lampa wisząca,aluminium,złoty,LED - zintegrowany,SMD2835,30W,,delikatnie ciepła,1,230V / 230V,80 cm,,120 cm,nie,,IP 44,II,B,1800 lm,,3000K,tak,"1,8 cm",,,,,,,,,,,,,,,,,,,"1,8 cm",,,do wewnątrz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA073/P_60_in_3k_gold,uniwersalny,ALTAVOLA DESIGN,5902249036855,Led shape,,lampa wisząca,aluminium,złoty,LED - zintegrowany,,23W,,delikatnie ciepła,1,230V / 230V,60 cm,,120 cm,nie,,IP 44,II,B,1380 lm,,3000K,tak,"1,8 cm",,,,,,,,,,,,,,,,ledowa lampa,led,,,,,do wewnątrz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA040/P_smoky_chrom,uniwersalny,ALTAVOLA DESIGN,5902249035964,NEW YORK LOFT,Industrial,lampa wisząca,Szkło,chrom,żarówka,BF-19,40W,E-27,barwa ciepła,1,230V / 230V,28 cm,,,tak,nie zawiera,IP 20,II,,,,,tak,25 cm,,,,,,,,,,30-150 cm,,,,,,lampa wisząca,lampa sufitowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA040/W_smoky_chrom,uniwersalny,ALTAVOLA DESIGN,5902249035971,NEW YORK LOFT,Industrial,kinkiet,Szkło,chrom,żarówka,BF-19,40W,E-27,delikatnie ciepła,1,230V / 230V,28 cm,,,tak,nie zawiera,IP 20,II,D,,nie,,,30 cm,,,,,,,,,,,,,,,,kinkiet szklany,klosz dymny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA034/CL4,uniwersalny,ALTAVOLA DESIGN,5902249035995,NEW YORK LOFT,Industrial,żyrandol,Szkło,mosiądz,żarówka,BF-19,40W,E-27,barwa ciepła,4,230V / 230V,,113 cm,,tak,nie zawiera,IP 20,II,,,nie,,tak,,,,,,,,,,,30-150 cm,,,,,,szklany żyrandol,szklany klosz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/CO4_white-orange,uniwersalny,ALTAVOLA DESIGN,5902249036008,Origami Design,,żyrandol,żelazo,Biały,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,13 cm,43 cm,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,,,,,,,,,,,,,,,,nietuzinkowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/CO4_beige,uniwersalny,ALTAVOLA DESIGN,5902249036022,Origami Design,,żyrandol,żelazo,Beżowy,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,13 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,,,,,,,,,,,,,,,,żyrandol,metalowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/CL4_white-orange,uniwersalny,ALTAVOLA DESIGN,5902249036046,Origami Design,,żyrandol,żelazo,Biały,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,13 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,,,,,,,,,,,,,,,,nietuzinkowy żyrandol,metalowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/CL4_black-yellow,uniwersalny,ALTAVOLA DESIGN,5902249036053,Origami Design,,żyrandol,żelazo,Czarny,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,13 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,,,,,,,,,,,,,,,,czarny żyrandol,oryginalny żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/CL4_bronze,uniwersalny,ALTAVOLA DESIGN,5902249036060,Origami Design,,żyrandol,żelazo,coffee,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,13 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,,,,,,,,,,,,,,,,żyrandol,metalowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/CL4_beige,uniwersalny,ALTAVOLA DESIGN,5902249036077,Origami Design,,żyrandol,żelazo,Beżowy,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,13 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,,,,,,,,,,,,,,,,żyrandol,metalowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA045/CL3_white_orange,uniwersalny,ALTAVOLA DESIGN,5902249036091,Origami Design,,żyrandol,żelazo,Biały,żarówka,BF-19,40W,E-27,delikatnie ciepła,3,230V / 230V,32 cm,,143 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,38 cm,,,,,,,,,,,,,,,,żyrandol,metalowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA073/P_60_in_4k_gold,uniwersalny,ALTAVOLA DESIGN,5902249036848,Led shape,,lampa wisząca,aluminium,złoty,LED - zintegrowany,,23W,,barwa dzienna,1,230V / 230V,60 cm,,120 cm,nie,,IP 44,II,B,1600 lm,,4000K,tak,"1,8 cm",,,,,,,,,,,,,,,,ledowa lampa,led,,,,,do wewnątrz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA046/CO4,uniwersalny,ALTAVOLA DESIGN,5902249036138,Modern Design,,żyrandol,żelazo,Biały,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,16 cm,44 cm,130 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,22 cm,,,,,,,,,,,,,,,,nietuzinkowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA046/CL4,uniwersalny,ALTAVOLA DESIGN,5902249036152,Modern Design,,żyrandol,żelazo,Biały,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,16 cm,112 cm,130 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,22 cm,,,,,,,,,,,,,,,,nietuzinkowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA047/CL4,uniwersalny,ALTAVOLA DESIGN,5902249036169,Modern Design,,żyrandol,żelazo,Czarny,żarówka,BF-19,40W,E-27,delikatnie ciepła,4,230V / 230V,13 cm,110 cm,130 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,24 cm,,,,,,,,,,,,,,,,nietuzinkowy żyrandol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA075/P_80_in_3k_gold ,uniwersalny,ALTAVOLA DESIGN,5902249036176,Led shape,,lampa wisząca,aluminium,złoty,LED - zintegrowany,,68W,,delikatnie ciepła,3,230V / 230V,60 cm,,120 cm,nie,,IP 44,II,A,4100 lm,,3000K,tak,"1,8 cm",,,,,,,,,,,,,,,,,,,"1,8 cm",,,do wewnątrz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
