ean;kod;nazwa;stany;
5908310061863;K 3012/1/K 200 FU;Kule Classic K 3012/1/K 200 FU;100;
5908310063164;K 3012/1/K 250 FU;Kule Classic K 3012/1/K 250 FU;100;
5908310065038;K 3012/1/K 250 P FU;Kule classic K 3012/1/K 250 P FU;100;
5908310064994;K 3012/1/K 250 U FU;Kule classic K 3012/1/K 250 U FU;100;
5908310065069;K 3012/1/K 300 P FU;Kule classic K 3012/1/K 300 P FU;100;
5908310065045;K 3012/1/K 300 U FU;Kule Classic K 3012/1/K 300 U FU;100;
5908310061870;K 4011/1/K 200 FU;Kule Classic K 4011/1/K 200 FU;100;
5908310064161;K 4011/1/K 250 FU;Kule Classic K 4011/1/K 250 FU;100;
5908310066738;K 5002/1/KP 200 FU;Kule Classic K 5002/1/KP 200 FU;100;
5908310066165;K 5002/1/KP 250 FU;Kule Classic K 5002/1/KP 250 FU;100;
5908310061887;K 5002/2/KP 200 FU;Kule Classic K 5002/2/KP 200 FU;100;
5908310067162;K 5002/2/KP 250 FU;Kule Classic K 5002/2/KP 250 FU;100;
5908310061894;K 5002/3/KP 200 FU;Kule Classic K 5002/3/KP 200 FU;100;
5908310068169;K 5002/3/KP 250 FU;Kule Classic K 5002/3/KP 250 FU;100;
5907632910965;OGMWN 1 300 FU;Kule Classic OGMWN 1 300 FU;100;
5907632911115;OGMWN 2 300 FU;Kule Classic OGMWN 2 300 FU;100;
5907632911474;OGMWN 3 300 FU;Kule Classic OGMWN 3 300 FU;100;
5908310061061;K 1018/1/KPO FU;Kule z koszykiem 200 K 1018/1/KPO FU;100;
5908310063065;K 3012/1/KPO FU;Kule z koszykiem 200 K 3012/1/KPO FU;100;
5908310064062;K 4011/1/KPO FU;Kule z koszykiem 200 K 4011/1/KPO FU;100;
5908310066066;K 5002/1/KPO FU;Kule z koszykiem 200 K 5002/1/KPO FU;100;
5908310067063;K 5002/2/KPO FU;Kule z koszykiem 200 K 5002/2/KPO FU;100;
5908310068060;K 5002/3/KPO FU;Kule z koszykiem 200 K 5002/3/KPO FU;100;
5907632911214;OGMWN 2 KPO FU;Kule z koszykiem 200 OGMWN 2 KPO FU;100;
5907632911559;OGMWN 3 KPO FU;Kule z koszykiem 200 OGMWN 3 KPO 200 FU;100;
5908310064277;K 1018/1/KPO 250 FU;Kule z koszykiem 250 K 1018/1/KPO 250 FU;100;
5908310065243;K 3012/1/KPO 250 FU;Kule z koszykiem 250 K 3012/1/KPO 250 FU;100;
5907632910026;K 3012/1/KPO 250 U FU;Kule z koszykiem 250 K 3012/1/KPO 250 U FU;100;
5908310066257;K 4011/1/KPO 250 FU;Kule z koszykiem 250 K 4011/1/KPO 250 FU;100;
5908310066820;K 5002/1/KPO 250 FU;Kule z koszykiem 250 K 5002/1/KPO 250 FU;100;
5908310065557;K 5002/2/KPO 250 FU;Kule z koszykiem 250 K 5002/2/KPO 250 FU;100;
5907632911030;OGMWN 1 KPO 250 FU;Kule z koszykiem 250 OGMWN 1 KPO 250 FU;100;
5907632911160;OGMWN 2 KPO 250 FU;Kule z koszykiem 250 OGMWN 2 KPO 250 FU;100;
5907632911535;OGMWN 3 KPO 250 FU;Kule z koszykiem 250 OGMWN 3 KPO 250 FU;100;
5907632912068;G 200 Z 35 FU;Kule Classic G 200 Z 35 FU;100;
5907632912082;G 250 Z 35 FU;Kule Classic G 250 Z 35 FU;100;
5907632912105;G 300 Z 35 FU;Kule Classic G 300 Z 35 FU;100;
5908310060149;K 3012/1/KF 200 FU;Kule Classic II K 3012/1/KF FU;100;
5908310062211;K 4011/1/KF 200 FU;Kule Classic II K 4011/1/KF FU;100;
5907632912143;K 3012/1/KW G;Wenecja K 3012/1/KW G;100;
5907632912242;K 3012/1/NC;Witraż K 3012/1/NC;100;
5908310062471;Fundament Duży;Fundament Duży;61;
5908310062488;Fundament Mały;Fundament Mały;27;
5907632912136;Fundament Mini;Fundament Mini;100;
5908310062495;Fundament Maxi;Fundament Maxi;16;



