Article number;EAN;Description;Stock;ETA-code;ETA confirmed;Article status
03435/56/30;5411212031426;Lucide MAGALI - Pendant light - Ø 56 cm - 1xE27 - Black;80;;;
03435/56/72;5411212031433;Lucide MAGALI - Pendant light - Ø 56 cm - 1xE27 - Light wood;63;;;
03436/40/30;5411212031464;Lucide GARVE - Pendant light - Ø 40 cm - 1xE27 - Black;64;;;
03436/40/33;5411212031471;Lucide GARVE - Pendant light - Ø 40 cm - 1xE27 - Green;64;;;
03436/40/44;5411212031488;Lucide GARVE - Pendant light - Ø 40 cm - 1xE27 - Ocher Yellow;42;;01.05.2022;
03437/40/44;5411212031495;Lucide MOLOKO - Pendant light - Ø 40 cm - 1xE27 - Ocher Yellow;72;;01.05.2022;
03437/60/44;5411212031501;Lucide MOLOKO - Pendant light - Ø 65 cm - 1xE27 - Ocher Yellow;142;;;
03438/35/30;5411212031518;Lucide ALBAN - Pendant light - Ø 35 cm - 1xE27 - Black;73;;01.05.2022;
03438/35/72;5411212031525;Lucide ALBAN - Pendant light - Ø 35 cm - 1xE27 - Light wood;41;;01.05.2022;
03440/01/72;5411212031679;Lucide JANTINE - Pendant light - Ø 26 cm - 1xE27 - Light wood;58;;;
03442/40/02;5411212031716;Lucide EXTRAVAGANZA FRILLS - Pendant light - Ø 40 cm - 1xE27 - Matt Gold / Brass;0;05.07.2022;;New Phase 1
03442/42/02;5411212031723;Lucide EXTRAVAGANZA FRILLS - Pendant light - Ø 42 cm - 1xE27 - Matt Gold / Brass;0;05.07.2022;;New Phase 1
03516/01/30;5411212030832;Lucide BELI - Table lamp - Ø 12 cm - 1xE27 - Black;81;10.07.2022;;
03520/01/62;5411212030993;Lucide CHARLIZE - Table lamp - Ø 23 cm - 1xE27 - Amber;72;;;
03520/01/65;5411212031006;Lucide CHARLIZE - Table lamp - Ø 23 cm - 1xE27 - Smoke Grey;69;;;
03521/01/10;5411212031013;Lucide LONE - Table lamp - Ø 12 cm - 1xG9 - Gold;135;;;
03521/01/30;5411212031020;Lucide LONE - Table lamp - Ø 12 cm - 1xG9 - Black;132;;;
03522/01/30;5411212031105;Lucide SELIN - Table lamp - Ø 6 cm - 1xE27 - Black;45;;;
03522/01/37;5411212031112;Lucide SELIN - Table lamp - Ø 6 cm - 1xE27 - Turquoise;56;;;
03525/01/30;5411212031129;Lucide LESLEY - Desk lamp - 1xGU10 - Black;96;10.07.2022;;
03526/01/33;5411212031242;Lucide EXTRAVAGANZA GOBLETT - Table lamp - 1xE27 - Green;39;;;
03527/01/62;5411212031259;Lucide EXTRAVAGANZA BELLISTER - Table lamp - Ø 13 cm - 1xG9 - Amber;81;;;
03528/01/65;5411212031563;Lucide LISTELLE - Table lamp - Ø 28 cm - 1xE27 - Smoke Grey;37;;;
03529/81/30;5411212031280;Lucide MAGIUS - Table lamp - Ø 28 cm - 1xE27 - Light wood;49;10.07.2022;;
03530/01/30;5411212031297;Lucide BRANDON - Desk lamp - 1xE14 - Black;47;;;
03531/03/66;5411212031310;Lucide ELGIN - Table lamp - Ø 38 cm - 3xG9 - Pink;25;;;Liquidation
03539/01/30;5411212031532;Lucide KENJIRO - Table lamp - Ø 30 cm - 1xE27 - Black;144;;;
03539/01/33;5411212031549;Lucide KENJIRO - Table lamp - Ø 30 cm - 1xE27 - Green;51;;;
03540/01/72;5411212031631;Lucide JANTINE - Table lamp - Ø 30 cm - 1xE27 - Light wood;50;;;
03541/01/30;5411212031655;Lucide HERMINE - Table lamp - Ø 30 cm - 1xE27 - Black;64;;;
03603/05/30;5411212030467;Lucide SKANSKA - Desk lamp - Ø 16 cm - LED Dim. - 1x7W 3000K - Black;37;10.07.2022;;
03603/05/31;5411212030450;Lucide SKANSKA - Desk lamp - Ø 16 cm - LED Dim. - 1x7W 3000K - White;42;;;
03613/01/30;5411212030733;Lucide CURF - Desk lamp - 1xE27 - Black;0;01.06.2022;;
03613/01/31;5411212030740;Lucide CURF - Desk lamp - 1xE27 - White;39;10.07.2022;;
03617/01/30;5411212030849;Lucide SHADI - Desk lamp - Ø 20 cm - 1xE14 - Black;75;01.06.2022;;
03703/10/30;5411212030481;Lucide SKANSKA - Floor lamp - LED Dim. - 2x5W 3000K - Black;108;;;
03703/10/31;5411212030474;Lucide SKANSKA - Floor lamp - LED Dim. - 2x5W 3000K - White;0;01.06.2022;;
03713/01/30;5411212030788;Lucide CURF - Floor reading lamp - 1xE27 - Black;29;01.06.2022;;
03713/01/31;5411212030795;Lucide CURF - Floor reading lamp - 1xE27 - White;51;10.07.2022;;
03717/01/30;5411212030856;Lucide SHADI - Floor reading lamp - Ø 28 cm - 1xE27 - Black;56;10.07.2022;;
03725/01/30;5411212031136;Lucide LESLEY - Floor reading lamp - 1xGU10 - Black;47;01.06.2022;29.04.2022;
03729/81/30;5411212031327;Lucide MAGIUS - Floor lamp - Ø 42 cm - 1xE27 - Light wood;0;;01.05.2022;
03731/03/66;5411212031341;Lucide ELGIN - Floor lamp - Ø 38 cm - 3xG9 - Pink;85;;;
03740/01/72;5411212031648;Lucide JANTINE - Floor lamp - Ø 30 cm - 1xE27 - Light wood;48;;;
03740/81/72;5411212031686;Lucide JANTINE - Floor lamp - Ø 26 cm - 1xE27 - Light wood;60;;;
03741/01/30;5411212031662;Lucide HERMINE - Floor lamp - Ø 30 cm - 1xE27 - Black;66;;;New Phase 2
04202/01/30;5411212040404;Lucide JESSE - Wall light Bathroom - 1xG9 - IP44 - Black;155;;;
04202/02/30;5411212040411;Lucide JESSE - Wall light Bathroom - 2xG9 - IP44 - Black;102;01.06.2022;06.05.2022;
04203/01/30;5411212040428;Lucide JELTE - Wall light Bathroom - Ø 12 cm - 1xG9 - IP44 - Black;0;01.06.2022;06.05.2022;
04204/01/30;5411212040435;Lucide JENNO - Wall light Bathroom - 1xG9 - IP44 - Black;106;;;
04205/12/12;5411212040381;Lucide JASPER - Mirror light Bathroom - LED - 1x16W 3000K - IP44 - Satin Chrome;103;;;
04206/01/30;5411212040442;Lucide JAYLA - Wall light Bathroom - 1xG9 - IP44 - Black;220;;;
04208/01/30;5411212040459;Lucide ROXY - Wall light Bathroom - 1xG9 - IP44 - Black;108;01.06.2022;;
04209/12/30;5411212040466;Lucide MADELON - Wall light Bathroom - LED - 1x9W 2700K - IP44 - Black;130;01.06.2022;06.05.2022;
04209/18/30;5411212040473;Lucide MADELON - Wall light Bathroom - LED - 1x18W 2700K - IP44 - Black;4;01.06.2022;06.05.2022;
04210/08/02;5411212040510;Lucide ALEXA - Wall light Bathroom - LED - 1x8W 3000K - IP44 - Matt Gold / Brass;0;20.07.2022;;New Phase 1
04210/08/30;5411212040527;Lucide ALEXA - Wall light Bathroom - LED - 1x8W 3000K - IP44 - Black;0;20.07.2022;;New Phase 1
04210/13/02;5411212040534;Lucide ALEXA - Wall light Bathroom - LED - 1x13W 3000K - IP44 - Matt Gold / Brass;0;20.07.2022;;New Phase 1
04210/13/30;5411212040541;Lucide ALEXA - Wall light Bathroom - LED - 1x13W 3000K - IP44 - Black;0;20.07.2022;;New Phase 1
05128/03/30;5411212051103;Lucide PEPIJN - Flush ceiling light - Ø 108 cm - 3xE14 - Black;44;01.06.2022;;
05131/01/02;5411212051219;Lucide OLENNA - Flush ceiling light - Ø 40 cm - 1xE27 - Matt Gold / Brass;64;;;
05132/02/30;5411212051226;Lucide LATTICE - Flush ceiling light - 2xE27 - Black;101;;;
05144/02/33;5411212051516;Lucide PENIGUET - Flush ceiling light - 2xE27 - Green;60;;;New Phase 2
05228/01/30;5411212051110;Lucide PEPIJN - Wall light - 1xE14 - 3 StepDim - Black;96;14.07.2022;;
05231/01/02;5411212051271;Lucide OLENNA - Wall light - Ø 25 cm - 1xE27 - Matt Gold / Brass;86;;;
05232/01/30;5411212051233;Lucide LATTICE - Wall light - 1xE27 - Black;93;;;
05233/01/30;5411212051462;Lucide CALIXT - Wall light - 1xE27 - Black;51;;;
05241/01/30;5411212051431;Lucide SLENDER - Wall light - 1xE27 - Black;12;;;
05332/02/30;5411212051240;Lucide LATTICE - Pendant light - 2xE27 - Black;46;;;
05431/01/02;5411212051257;Lucide OLENNA - Pendant light - Ø 40 cm - 1xE27 - Matt Gold / Brass;52;;;
05433/02/30;5411212051479;Lucide CALIXT - Pendant light - 2xE27 - Black;45;;;
05444/02/33;5411212051509;Lucide PENIGUET - Pendant light - 2xE27 - Green;58;;;
05523/01/30;5411212051028;Lucide CICLETA - Table lamp - 1xE27 - Black;105;;;
05528/01/30;5411212051134;Lucide PEPIJN - Table lamp - 1xE14 - 3 StepDim - Black;37;01.06.2022;;
05530/20/30;5411212051158;Lucide ALVARO - Table lamp - Ø 20 cm - 1xE14 - Black;367;;;
05530/31/30;5411212051165;Lucide ALVARO - Table lamp - Ø 31 cm - 1xE27 - Black;359;;;
05533/02/35;5411212051288;Lucide RENGER - Table lamp Children - 2xG9 - Blue;69;;;
05533/02/66;5411212051295;Lucide RENGER - Table lamp Children - 2xG9 - Pink;71;;;
05534/03/35;5411212051301;Lucide BEAMER - Table lamp Children - LED - 1x3W 3000K - Blue;59;;;
05534/03/66;5411212051318;Lucide BEAMER - Table lamp Children - LED - 1x3W 3000K - Pink;62;;;
05535/01/35;5411212051325;Lucide BASTIN - Clamp lamp Children - 1xE14 - Blue;52;;;
05535/01/66;5411212051332;Lucide BASTIN - Clamp lamp Children - 1xE14 - Pink;51;;;
05536/01/35;5411212051349;Lucide DRISS - Clamp lamp Children - 1xGU10 - Blue;144;;;
05536/01/66;5411212051356;Lucide DRISS - Clamp lamp Children - 1xGU10 - Pink;51;;;
05537/01/35;5411212051363;Lucide DYLAN - Table lamp Children - 1xE14 - Blue;15;;;
05537/01/66;5411212051370;Lucide DYLAN - Table lamp Children - 1xE14 - Pink;126;;;
05538/01/02;5411212051387;Lucide TIMON - Table lamp - 1xE14 - 3 StepDim - Matt Gold / Brass;174;;;
05539/01/02;5411212051394;Lucide TIMON - Table lamp - 1xE27 - 3 StepDim - Matt Gold / Brass;183;;;
05540/01/30;5411212051523;Lucide FARRIS - Table lamp - 1xE27 - Black;0;01.06.2022;;New Phase 1
