Article number;EAN;Description;Stock;ETA-code;ETA confirmed;Article status
09120/12/30;5411212092403;Lucide ZEFIX - Ceiling spotlight - LED Dim to warm - GU10 - 1x12W 2200K/3000K - Black;148;;;
09120/12/31;5411212092410;Lucide ZEFIX - Ceiling spotlight - LED Dim to warm - GU10 - 1x12W 2200K/3000K - White;183;;;
09120/24/30;5411212092427;Lucide ZEFIX - Ceiling spotlight - LED Dim to warm - GU10 - 2x12W 2200K/3000K - Black;96;01.04.2022;;
09120/24/31;5411212092434;Lucide ZEFIX - Ceiling spotlight - LED Dim to warm - GU10 - 2x12W 2200K/3000K - White;84;;;
09201/01/30;5411212092274;Lucide DEVI - Wall light - 1xG9 - Black;184;;;
09201/01/31;5411212091611;Lucide DEVI - Wall light - 1xG9 - White;129;;;
09205/01/97;5411212090973;Lucide CANNA - Wall light - 1xE14 - Rust Brown;60;;15.05.2022;
09217/04/02;5411212092441;Lucide XIO - Wall light - LED Dim. - G9 - 1x4W 2700K - Matt Gold / Brass;167;01.06.2022;15.05.2022;
09217/04/30;5411212091994;Lucide XIO - Wall light - LED Dim. - G9 - 1x4W 2700K - Black;811;;06.05.2022;
09217/04/31;5411212091895;Lucide XIO - Wall light - LED Dim. - G9 - 1x4W 2700K - White;348;;06.05.2022;
09217/04/36;5411212091901;Lucide XIO - Wall light - LED Dim. - G9 - 1x4W 2700K - Grey;200;;;
09217/04/97;5411212092458;Lucide XIO - Wall light - LED Dim. - G9 - 1x4W 2700K - Coffee;172;;15.05.2022;
09218/04/02;5411212092465;Lucide XIO - Wall light - LED Dim. - G9 - 1x3,5W 2700K - Matt Gold / Brass;315;;15.05.2022;
09218/04/30;5411212092007;Lucide XIO - Wall light - LED Dim. - G9 - 1x3,5W 2700K - Black;700;;06.05.2022;
09218/04/31;5411212091918;Lucide XIO - Wall light - LED Dim. - G9 - 1x3,5W 2700K - White;99;09.07.2022;06.05.2022;
09218/04/36;5411212091925;Lucide XIO - Wall light - LED Dim. - G9 - 1x3,5W 2700K - Grey;268;;;
09218/04/97;5411212092472;Lucide XIO - Wall light - LED Dim. - G9 - 1x3,5W 2700K - Coffee;310;;15.05.2022;
09233/01/30;5411212093059;Lucide QUIRIJN - Wall light - Ø 10 cm - 1xG9 - Black;55;15.05.2022;06.05.2022;
09233/01/31;5411212093066;Lucide QUIRIJN - Wall light - Ø 10 cm - 1xG9 - White;83;15.05.2022;06.05.2022;
09434/01/30;5411212093073;Lucide FAVORI - Pendant light - Ø 9 cm - 1xGU10 - Black;44;;;
09434/01/31;5411212093080;Lucide FAVORI - Pendant light - Ø 9 cm - 1xGU10 - White;52;;;
09434/04/30;5411212093097;Lucide FAVORI - Pendant light - 4xGU10 - Black;41;;;New Phase 2
09434/04/31;5411212093103;Lucide FAVORI - Pendant light - 4xGU10 - White;48;;;New Phase 2
09533/01/30;5411212093035;Lucide QUIRIJN - Table lamp - Ø 9,6 cm - 1xE27 - Black;0;01.06.2022;08.04.2022;New Phase 2
09533/01/31;5411212093042;Lucide QUIRIJN - Table lamp - Ø 9,6 cm - 1xE27 - White;0;01.06.2022;08.04.2022;New Phase 2
09831/01/30;5411212092694;Lucide TAYLOR - Wall spotlight Outdoor - 1xGU10 - IP54 - Black;130;06.05.2022;22.04.2022;
09831/01/31;5411212092700;Lucide TAYLOR - Wall spotlight Outdoor - 1xGU10 - IP54 - White;83;11.07.2022;;
09831/02/30;5411212092717;Lucide TAYLOR - Wall spotlight Outdoor - 2xGU10 - IP54 - Black;180;;08.04.2022;
09831/02/31;5411212092724;Lucide TAYLOR - Wall spotlight Outdoor - 2xGU10 - IP54 - White;70;11.07.2022;;
09832/01/30;5411212092755;Lucide TAYLOR - Garden spotlight Outdoor - Ø 10 cm - 1xGU10 - IP65 - Black;164;;;
09832/01/31;5411212092762;Lucide TAYLOR - Garden spotlight Outdoor - Ø 10 cm - 1xGU10 - IP65 - White;192;;;New Phase 2
09912/05/31;5411212091710;Lucide BENTOO-LED - Ceiling spotlight - Ø 8 cm - LED Dim. - GU10 - 1x5W 3000K - White;168;01.06.2022;;
09912/05/36;5411212091727;Lucide BENTOO-LED - Ceiling spotlight - Ø 8 cm - LED Dim. - GU10 - 1x5W 3000K - Grey;82;;;
09913/05/31;5411212091734;Lucide BENTOO-LED - Ceiling spotlight - LED Dim. - GU10 - 1x5W 3000K - White;163;;;
09913/05/36;5411212091741;Lucide BENTOO-LED - Ceiling spotlight - LED Dim. - GU10 - 1x5W 3000K - Grey;105;;;
09913/10/31;5411212091758;Lucide BENTOO-LED - Ceiling spotlight - LED Dim. - GU10 - 2x5W 3000K - White;129;;;
09913/10/36;5411212091765;Lucide BENTOO-LED - Ceiling spotlight - LED Dim. - GU10 - 2x5W 3000K - Grey;360;;;
09914/10/36;5411212091789;Lucide BENTOO-LED - Ceiling spotlight - LED Dim. - GU10 - 2x5W 3000K - Grey;67;;;
09915/06/31;5411212092366;Lucide DELTO - Ceiling spotlight - Ø 5,5 cm - LED Dim to warm - GU10 - 1x5W 2200K/3000K - White;290;20.08.2022;;
09915/06/36;5411212092373;Lucide DELTO - Ceiling spotlight - Ø 5,5 cm - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Grey;183;;;
09916/06/31;5411212092380;Lucide DELTO - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - White;95;01.06.2022;;
09916/06/36;5411212092397;Lucide DELTO - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Grey;133;;;
09921/12/30;5411212092120;Lucide FEDLER - Ceiling spotlight - Ø 12 cm - LED Dim to warm - GU10 - 1x12W 2200K/3000K - Black;100;01.06.2022;;
09921/12/31;5411212092137;Lucide FEDLER - Ceiling spotlight - Ø 12 cm - LED Dim to warm - GU10 - 1x12W 2200K/3000K - White;213;;;
09922/12/30;5411212092151;Lucide FEDLER - Ceiling spotlight - LED Dim to warm - GU10 - 1x12W 2200K/3000K - Black;130;;;
09922/12/31;5411212092168;Lucide FEDLER - Ceiling spotlight - LED Dim to warm - GU10 - 1x12W 2200K/3000K - White;68;;06.05.2022;
09923/01/30;5411212092175;Lucide ZIVA - Recessed spotlight Bathroom - Ø 8,5 cm - 1xGU10 - IP44 - Black;980;;06.05.2022;
09923/01/31;5411212092182;Lucide ZIVA - Recessed spotlight Bathroom - Ø 8,5 cm - 1xGU10 - IP44 - White;263;20.07.2022;06.05.2022;
09924/01/30;5411212092199;Lucide ZIVA - Recessed spotlight Bathroom - 1xGU10 - IP44 - Black;679;;06.05.2022;
09924/01/31;5411212092205;Lucide ZIVA - Recessed spotlight Bathroom - 1xGU10 - IP44 - White;512;;06.05.2022;
09925/01/30;5411212092212;Lucide TRIMLESS - Recessed spotlight - 1xGU10 - Black;462;;;
09925/01/31;5411212092229;Lucide TRIMLESS - Recessed spotlight - 1xGU10 - White;159;;;
09925/02/30;5411212092236;Lucide TRIMLESS - Recessed spotlight - 2xGU10 - Black;217;;;
09925/02/31;5411212092243;Lucide TRIMLESS - Recessed spotlight - 2xGU10 - White;69;20.08.2022;;
09926/01/30;5411212092250;Lucide CHIMNEY - Recessed spotlight - 1xGU10 - Black;673;;;
09926/02/30;5411212092267;Lucide CHIMNEY - Recessed spotlight - 2xGU10 - Black;756;;;
09927/05/02;5411212092489;Lucide PRESTON - Wall spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Matt Gold / Brass;157;;;
09927/10/02;5411212092496;Lucide PRESTON - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - Matt Gold / Brass;105;;;
09928/05/30;5411212092502;Lucide TURNON - Wall spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Black;402;;;
09928/10/30;5411212092519;Lucide TURNON - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - Black;97;;;
09928/15/30;5411212092526;Lucide TURNON - Ceiling spotlight - LED Dim to warm - GU10 - 3x5W 2200K/3000K - Black;104;;;
09929/05/02;5411212092939;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Matt Gold / Brass;0;01.06.2022;08.04.2022;
09929/05/16;5411212092946;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Black Steel;84;;;
09929/05/30;5411212092533;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Black;494;;06.05.2022;
09929/05/31;5411212092540;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - White;531;;;
09929/06/02;5411212092953;Lucide NIGEL - Wall spotlight - LED Dim. - GU10 - 1x5W 3000K - With USB charging point - Matt Gold / Brass;46;01.06.2022;;
09929/06/16;5411212092960;Lucide NIGEL - Wall spotlight - LED Dim. - GU10 - 1x5W 3000K - With USB charging point - Black Steel;57;;22.04.2022;
09929/06/30;5411212092731;Lucide NIGEL - Wall spotlight - LED Dim. - GU10 - 1x5W 3000K - With USB charging point - Black;564;22.04.2022;08.04.2022;
09929/06/31;5411212092748;Lucide NIGEL - Wall spotlight - LED Dim. - GU10 - 1x5W 3000K - With USB charging point - White;376;;;
09929/10/02;5411212092977;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - Matt Gold / Brass;46;22.04.2022;08.04.2022;
09929/10/16;5411212092984;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - Black Steel;33;;08.04.2022;
09929/10/30;5411212092557;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - Black;397;;06.05.2022;
09929/10/31;5411212092564;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - White;538;;;
09929/15/02;5411212092991;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 3x5W 2200K/3000K - Matt Gold / Brass;29;22.04.2022;08.04.2022;
09929/15/16;5411212093004;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 3x5W 2200K/3000K - Black Steel;73;22.04.2022;08.04.2022;
09929/15/30;5411212092571;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 3x5W 2200K/3000K - Black;269;;;
09929/15/31;5411212092588;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 3x5W 2200K/3000K - White;68;21.06.2022;;
09929/20/02;5411212093011;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 4x5W 2200K/3000K - Matt Gold / Brass;41;22.04.2022;08.04.2022;
09929/20/16;5411212093028;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 4x5W 2200K/3000K - Black Steel;0;01.06.2022;08.04.2022;
09929/20/30;5411212092595;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 4x5W 2200K/3000K - Black;257;;;
09929/20/31;5411212092601;Lucide NIGEL - Ceiling spotlight - LED Dim to warm - GU10 - 4x5W 2200K/3000K - White;172;08.08.2022;;
09930/05/30;5411212092618;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 1x5W 2200K/3000K - IP44 - Black;338;;;
09930/05/31;5411212092625;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 1x5W 2200K/3000K - IP44 - White;76;15.05.2022;22.04.2022;
09930/10/30;5411212092632;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 2x5W 2200K/3000K - IP44 - Black;183;11.07.2022;;
09930/10/31;5411212092649;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 2x5W 2200K/3000K - IP44 - White;199;15.05.2022;22.04.2022;
09930/15/30;5411212092656;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 3x5W 2200K/3000K - IP44 - Black;111;21.06.2022;15.05.2022;
09930/15/31;5411212092663;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 3x5W 2200K/3000K - IP44 - White;93;;;
09930/20/30;5411212092670;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 4x5W 2200K/3000K - IP44 - Black;135;15.05.2022;22.04.2022;
09930/20/31;5411212092687;Lucide TAYLOR - Ceiling spotlight Bathroom - LED Dim to warm - GU10 - 4x5W 2200K/3000K - IP44 - White;88;15.05.2022;22.04.2022;
09931/01/30;5411212092779;Lucide TRIMLESS - Recessed spotlight - 1xGU10 - Black;50;;;
09931/01/31;5411212092786;Lucide TRIMLESS - Recessed spotlight - 1xGU10 - White;51;;;
09931/02/30;5411212092793;Lucide TRIMLESS - Recessed spotlight - 2xGU10 - Black;108;;;
09931/02/31;5411212092809;Lucide TRIMLESS - Recessed spotlight - 2xGU10 - White;118;;;
09932/01/30;5411212092816;Lucide FAVORI - Ceiling spotlight - 1xGU10 - Black;73;11.06.2022;;
09932/01/31;5411212092823;Lucide FAVORI - Ceiling spotlight - 1xGU10 - White;70;20.08.2022;;
09932/02/30;5411212092830;Lucide FAVORI - Ceiling spotlight - 2xGU10 - Black;37;01.06.2022;;
09932/02/31;5411212092847;Lucide FAVORI - Ceiling spotlight - 2xGU10 - White;29;01.06.2022;;
09932/04/30;5411212092854;Lucide FAVORI - Ceiling spotlight - 4xGU10 - Black;101;;;
09932/04/31;5411212092861;Lucide FAVORI - Ceiling spotlight - 4xGU10 - White;43;11.06.2022;;
09932/11/30;5411212092915;Lucide FAVORI - Wall spotlight - 1xGU10 - Black;66;;06.05.2022;
09932/11/31;5411212092922;Lucide FAVORI - Wall spotlight - 1xGU10 - White;63;20.08.2022;;
10202/01/30;5411212105608;Lucide EXTRAVAGANZA CHIMP - Wall light - 1xE27 - Black;41;05.07.2022;;New Phase 2
10402/01/30;5411212105318;Lucide EXTRAVAGANZA CHIMP - Pendant light - Ø 18 cm - 1xE27 - Black;281;05.07.2022;01.05.2022;
10407/25/36;5411212105363;Lucide EXTRAVAGANZA TOGO - Pendant light - Ø 25 cm - 1xE27 - Grey;53;;;
10407/25/44;5411212105370;Lucide EXTRAVAGANZA TOGO - Pendant light - Ø 25 cm - 1xE27 - Ocher Yellow;50;;;
10407/25/66;5411212105387;Lucide EXTRAVAGANZA TOGO - Pendant light - Ø 25 cm - 1xE27 - Pink;56;;;
10409/01/33;5411212105615;Lucide EXTRAVAGANZA TUSSE - Pendant light - Ø 30 cm - 1xE27 - Green;59;;;New Phase 2
10409/01/35;5411212105622;Lucide EXTRAVAGANZA TUSSE - Pendant light - 1xE27 - Blue;60;;;New Phase 2
10409/01/66;5411212105639;Lucide EXTRAVAGANZA TUSSE - Pendant light - 1xE27 - Pink;60;;;New Phase 2
10410/20/02;5411212105585;Lucide COOPER - Pendant light - Ø 30 cm - 1xE27 - Matt Gold / Brass;53;;;New Phase 2
10410/20/30;5411212105592;Lucide COOPER - Pendant light - Ø 30 cm - 1xE27 - Black;51;01.06.2022;;New Phase 2
10411/40/02;5411212105561;Lucide AVONMORE - Pendant light - Ø 40 cm - 1xE27 - Matt Gold / Brass;0;01.06.2022;;New Phase 1
10411/40/30;5411212105578;Lucide AVONMORE - Pendant light - Ø 40 cm - 1xE27 - Black;0;01.06.2022;;New Phase 1
10500/81/34;5411212105264;Lucide EXTRAVAGANZA FRIZZLE - Table lamp - Ø 18 cm - 1xE14 - Yellow;35;01.06.2022;;
10500/81/43;5411212105271;Lucide EXTRAVAGANZA FRIZZLE - Table lamp - Ø 18 cm - 1xE14 - Brown;45;;01.05.2022;
10500/81/66;5411212105288;Lucide EXTRAVAGANZA FRIZZLE - Table lamp - Ø 18 cm - 1xE14 - Pink;37;21.06.2022;;
10501/81/30;5411212105295;Lucide EXTRAVAGANZA VELVET - Table lamp - Ø 25 cm - 1xE27 - Black;72;21.06.2022;01.05.2022;
10501/81/37;5411212105301;Lucide EXTRAVAGANZA VELVET - Table lamp - Ø 25 cm - 1xE27 - Turquoise;112;05.07.2022;;
10502/81/30;5411212105325;Lucide EXTRAVAGANZA CHIMP - Table lamp - Ø 30 cm - 1xE14 - Black;63;01.06.2022;;
10503/81/30;5411212105349;Lucide EXTRAVAGANZA GUST - Table lamp - Ø 22,5 cm - 1xE14 - Black;56;01.06.2022;;
10504/81/30;5411212105356;Lucide EXTRAVAGANZA FILOU - Table lamp - Ø 36 cm - 1xE14 - Black;61;;;
10505/81/02;5411212105240;Lucide EXTRAVAGANZA COCONUT - Table lamp - Ø 30,5 cm - 1xE27 - Matt Gold / Brass;94;;;
10505/81/30;5411212105257;Lucide EXTRAVAGANZA COCONUT - Table lamp - Ø 30,5 cm - 1xE27 - Black;87;;;
10506/81/02;5411212105424;Lucide EXTRAVAGANZA MISS TALL - Table lamp - Ø 25 cm - 1xE27 - Matt Gold / Brass;70;;;
10507/81/36;5411212105394;Lucide EXTRAVAGANZA TOGO - Table lamp - Ø 18 cm - 1xE14 - Grey;58;;;
10507/81/44;5411212105400;Lucide EXTRAVAGANZA TOGO - Table lamp - Ø 18 cm - 1xE14 - Ocher Yellow;42;21.06.2022;;
10507/81/66;5411212105417;Lucide EXTRAVAGANZA TOGO - Table lamp - Ø 18 cm - 1xE14 - Pink;60;;;
10508/01/33;5411212105530;Lucide EXTRAVAGANZA TUSSE - Table lamp - Ø 15 cm - 1xE14 - Green;54;;;New Phase 2
10508/01/35;5411212105547;Lucide EXTRAVAGANZA TUSSE - Table lamp - Ø 15 cm - 1xE14 - Blue;55;;;New Phase 2
10508/01/66;5411212105554;Lucide EXTRAVAGANZA TUSSE - Table lamp - Ø 15 cm - 1xE14 - Pink;55;;;New Phase 2
10509/81/33;5411212105646;Lucide EXTRAVAGANZA TUSSE - Table lamp - Ø 30 cm - 1xE27 - Green;58;;;New Phase 2
10509/81/35;5411212105653;Lucide EXTRAVAGANZA TUSSE - Table lamp - Ø 30 cm - 1xE27 - Blue;58;;;New Phase 2
10509/81/66;5411212105660;Lucide EXTRAVAGANZA TUSSE - Table lamp - Ø 30 cm - 1xE27 - Pink;59;;;New Phase 2
10702/81/30;5411212105332;Lucide EXTRAVAGANZA CHIMP - Floor lamp - Ø 35 cm - 1xE27 - Black;97;01.05.2022;22.04.2022;
10706/81/02;5411212105431;Lucide EXTRAVAGANZA MISS TALL - Floor lamp - Ø 35 cm - 1xE27 - Matt Gold / Brass;64;;;New Phase 2
11001/15/12;5411212114488;Lucide FOCUS - Recessed spotlight - Ø 8,1 cm - LED Dim. - GU10 - 3x5W 3000K - Satin Chrome - Set of 3;137;;;
11001/15/30;5411212114822;Lucide FOCUS - Recessed spotlight - Ø 8,1 cm - LED Dim. - GU10 - 3x5W 3000K - Black - Set of 3;100;;;
11001/15/31;5411212114495;Lucide FOCUS - Recessed spotlight - Ø 8,1 cm - LED Dim. - GU10 - 3x5W 3000K - White - Set of 3;102;;;
11002/15/12;5411212114563;Lucide FOCUS - Recessed spotlight - LED Dim. - GU10 - 3x5W 3000K - Satin Chrome - Set of 3;75;;;
11002/15/30;5411212114839;Lucide FOCUS - Recessed spotlight - LED Dim. - GU10 - 3x5W 3000K - Black - Set of 3;273;;;
11002/15/31;5411212114570;Lucide FOCUS - Recessed spotlight - LED Dim. - GU10 - 3x5W 3000K - White - Set of 3;116;;;
11800/01/12;5411212114761;Lucide BILTIN - Deck light Outdoor - 1xGU10 - IP67 - Satin Chrome;58;;;
11800/01/30;5411212114921;Lucide BILTIN - Deck light Outdoor - 1xGU10 - IP67 - Black;149;;;
11801/01/12;5411212114778;Lucide BILTIN - Deck light Outdoor - Ø 10,8 cm - 1xGU10 - IP67 - Satin Chrome;125;;;
11801/01/30;5411212114938;Lucide BILTIN - Deck light Outdoor - Ø 10,8 cm - 1xGU10 - IP67 - Black;139;;;
11811/01/06;5411212114396;Lucide FIGO - Wall light Outdoor - Ø 21,3 cm - 1xE27 - IP44 - Zinc;103;22.04.2022;01.04.2022;
11811/01/30;5411212114389;Lucide FIGO - Wall light Outdoor - Ø 21,3 cm - 1xE27 - IP44 - Black;496;;;
11812/01/30;5411212114402;Lucide LIVIA - Wall light Outdoor - 1xE27 - IP44 - Black;255;;22.04.2022;
11812/01/31;5411212114419;Lucide LIVIA - Wall light Outdoor - 1xE27 - IP44 - White;219;;;
11832/01/30;5411212110848;Lucide TIRENO - Wall light Outdoor - 1xE27 - IP44 - Black;167;;;
11833/01/30;5411212110879;Lucide TIRENO - Wall light Outdoor - 1xE27 - IP44 - Black;132;;08.04.2022;
11834/01/30;5411212110909;Lucide TIRENO - Bollard light Outdoor - 1xE27 - IP44 - Black;152;;;
11835/01/30;5411212110930;Lucide TIRENO - Lamp post Outdoor - 1xE27 - IP44 - Black;108;;;
11835/03/30;5411212112804;Lucide TIRENO - Lamp post Outdoor - Ø 18,5 cm - 3xE27 - IP44 - Black;16;;;Liquidation
11870/01/97;5411212113474;Lucide ARUBA - Wall light Outdoor - Ø 30 cm - 1xE27 - IP44 - Rust Brown;75;;;
11871/01/30;5411212113498;Lucide ARUBA - Wall light Outdoor - Ø 25 cm - 1xE27 - IP44 - Black;133;27.08.2022;;
11871/01/97;5411212113481;Lucide ARUBA - Wall light Outdoor - Ø 25 cm - 1xE27 - IP44 - Rust Brown;86;22.04.2022;01.04.2022;
11872/01/30;5411212113504;Lucide ARUBA - Pendant light Outdoor - Ø 25 cm - 1xE27 - IP44 - Black;67;;;
11872/01/97;5411212113511;Lucide ARUBA - Pendant light Outdoor - Ø 25 cm - 1xE27 - IP44 - Rust Brown;38;;22.04.2022;
11873/01/30;5411212113559;Lucide ARUBA - Lamp post Outdoor - 1xE27 - IP44 - Black;111;;;
11873/01/97;5411212113566;Lucide ARUBA - Lamp post Outdoor - 1xE27 - IP44 - Rust Brown;96;;;
11874/01/12;5411212114785;Lucide ZICO - Wall light Outdoor - Ø 21,8 cm - 1xE27 - IP44 - Satin Chrome;163;;;
11874/01/30;5411212114792;Lucide ZICO - Wall light Outdoor - Ø 21,8 cm - 1xE27 - IP44 - Black;328;;;
11874/99/12;5411212114808;Lucide ZICO - Lamp post Outdoor - Ø 21,8 cm - 1xE27 - IP44 - Satin Chrome;88;;;
11874/99/30;5411212114815;Lucide ZICO - Lamp post Outdoor - Ø 21,8 cm - 1xE27 - IP44 - Black;88;01.06.2022;;
11875/01/30;5411212114846;Lucide LIMAL - Flush ceiling light Outdoor - 1xE27 - IP44 - Black;67;;;
11876/01/30;5411212114853;Lucide LIMAL - Wall light Outdoor - 1xE27 - IP44 - Black;0;01.06.2022;22.04.2022;
11890/25/02;5411212114860;Lucide DUDLEY - Wall light Outdoor - Ø 25 cm - 1xE27 - IP44 - Matt Gold / Brass;69;;;
11890/25/30;5411212114877;Lucide DUDLEY - Wall light Outdoor - Ø 25 cm - 1xE27 - IP44 - Black;59;09.07.2022;;
11891/20/02;5411212114884;Lucide DUDLEY - Wall light Outdoor - 1xE27 - IP44 - Matt Gold / Brass;180;09.07.2022;;
11891/20/30;5411212114891;Lucide DUDLEY - Wall light Outdoor - 1xE27 - IP44 - Black;154;09.07.2022;;
11892/01/02;5411212114907;Lucide DUDLEY - Wall light Outdoor - 1xE27 - IP44 - Matt Gold / Brass;54;09.07.2022;;
11892/01/30;5411212114914;Lucide DUDLEY - Wall light Outdoor - 1xE27 - IP44 - Black;158;;;
11903/05/30;5411212114679;Lucide JASTER-LED - Ceiling spotlight - LED - GU10 - 1x5W 2700K - Black;323;;;
11903/05/31;5411212114686;Lucide JASTER-LED - Ceiling spotlight - LED - GU10 - 1x5W 2700K - White;231;;;
11903/10/30;5411212114693;Lucide JASTER-LED - Ceiling spotlight - LED - GU10 - 2x5W 2700K - Black;283;;;
11903/10/31;5411212114709;Lucide JASTER-LED - Ceiling spotlight - LED - GU10 - 2x5W 2700K - White;133;;;
11903/15/30;5411212114716;Lucide JASTER-LED - Ceiling spotlight - Ø 20 cm - LED - GU10 - 3x5W 2700K - Black;168;01.06.2022;;
11903/15/31;5411212114723;Lucide JASTER-LED - Ceiling spotlight - Ø 20 cm - LED - GU10 - 3x5W 2700K - White;128;;;
11903/20/30;5411212114730;Lucide JASTER-LED - Ceiling spotlight - LED - GU10 - 4x5W 2700K - Black;126;;;
11903/20/31;5411212114747;Lucide JASTER-LED - Ceiling spotlight - LED - GU10 - 4x5W 2700K - White;121;;;
12200/60/30;5411212126900;Lucide SEGIN - Wall light - LED - 1x6W 2700K - Black;0;06.05.2022;08.04.2022;
12200/90/30;5411212126917;Lucide SEGIN - Wall light - LED - 1x10W 2700K - Black;43;;08.04.2022;
12201/60/30;5411212126924;Lucide MIZAR - Wall light Bathroom - LED - 1x6W 2700K - IP44 - Black;0;06.05.2022;08.04.2022;
12201/90/30;5411212126931;Lucide MIZAR - Wall light Bathroom - LED - 1x11W 2700K - IP44 - Black;0;06.05.2022;08.04.2022;
12219/02/30;5411212126788;Lucide OVALIS - Wall light - 2xE14 - Black;489;;29.04.2022;
12219/02/31;5411212126795;Lucide OVALIS - Wall light - 2xE14 - White;283;20.06.2022;;
12222/02/30;5411212126894;Lucide OVALIS - Wall light - 2xE14 - Black;353;20.06.2022;29.04.2022;
12561/21/12;5411212123329;Lucide TOUCH - Table lamp - Ø 22 cm - 1xE14 - 3 StepDim - Satin Chrome;104;;01.04.2022;
12719/06/12;5411212126764;Lucide BERGAMO - Floor reading lamp - LED Dim. - 1x8W 3000K - Satin Chrome;64;;;
12719/06/30;5411212126887;Lucide BERGAMO - Floor reading lamp - LED Dim. - 1x8W 3000K - Black;41;;15.05.2022;
13135/01/31;5411212134172;Lucide GOSSE - Flush ceiling light - Ø 19,5 cm - 1xE27 - White;0;;08.04.2022;
13435/01/31;5411212134141;Lucide GOSSE - Pendant light - Ø 19,5 cm - 1xE27 - White;137;;;
13435/03/31;5411212134189;Lucide GOSSE - Pendant light - 3xE27 - White;32;10.07.2022;;
13511/01/31;5411212133489;Lucide KANT - Table lamp - Ø 12 cm - 1xE14 - White;297;;;
13513/01/31;5411212133502;Lucide CACTUS - Table lamp - Ø 20 cm - 1xE14 - White;188;;;
13513/01/33;5411212133649;Lucide CACTUS - Table lamp - Ø 20 cm - 1xE14 - Green;447;;;
13513/01/34;5411212133656;Lucide CACTUS - Table lamp - Ø 20 cm - 1xE14 - Yellow;63;;;
13513/01/66;5411212133663;Lucide CACTUS - Table lamp - Ø 20 cm - 1xE14 - Pink;79;;;
13513/01/68;5411212133670;Lucide CACTUS - Table lamp - Ø 20 cm - 1xE14 - Pastel Blue;102;;;
13525/01/31;5411212133939;Lucide SAFIYA - Table lamp - Ø 16,5 cm - 1xE14 - White;50;05.07.2022;;
13525/01/36;5411212133946;Lucide SAFIYA - Table lamp - Ø 16,5 cm - 1xE14 - Grey;95;05.07.2022;;
13526/01/31;5411212133953;Lucide JAMILA - Table lamp - Ø 15,5 cm - 1xE14 - White;56;05.07.2022;;
13526/01/36;5411212133960;Lucide JAMILA - Table lamp - Ø 15,5 cm - 1xE14 - Grey;105;;;
13527/26/31;5411212133984;Lucide SHELLY - Table lamp - 1xE14 - White;99;;;
13527/33/31;5411212133977;Lucide SHELLY - Table lamp - 1xE14 - White;387;;;
13532/01/31;5411212134059;Lucide PINGUIN - Table lamp - 1xE14 - White;53;;08.04.2022;
13533/81/10;5411212134097;Lucide EXTRAVAGANZA SIR WINSTON - Table lamp - 1xE14 - Gold;173;;;
13533/81/30;5411212134103;Lucide EXTRAVAGANZA SIR WINSTON - Table lamp - 1xE14 - Black;181;;;
13534/19/31;5411212134110;Lucide TIESSE - Table lamp - Ø 19,6 cm - 1xE14 - White;69;10.07.2022;;
13534/26/31;5411212134127;Lucide TIESSE - Table lamp - Ø 15,4 cm - 1xE14 - White;79;;;
