"EAN code";"article number";"availability";"next expected arrival"
"5998250352442";"5244";"available";"2022-02-25"
"5998250352459";"5245";"available";"2022-02-25"
"5998250352466";"5246";"available";"2022-02-25"
"5998250352473";"5247";"available";"2022-02-25"
"5998250352480";"5248";"available";"2022-05-20"
"5998250352497";"5249";"available";"2022-05-20"
"5998250352503";"5250";"available";"2022-02-07"
"5998250352510";"5251";"available";""
"5998250352527";"5252";"available";"2022-05-20"
"5998250352534";"5253";"available";"2022-05-20"
"5998250352633";"5263";"available";""
"5998250352770";"5277";"available";""
"5998250352787";"5278";"available";""
"5998250352794";"5279";"available";"2022-05-20"
"5998250352817";"5281";"available";"2022-05-20"
"5998250352824";"5282";"available";"2022-05-20"
"5998250352831";"5283";"available";"2022-05-20"
"5998250352848";"5284";"available";"2022-05-20"
"5998250352855";"5285";"available";""
"5998250352862";"5286";"available";""
"5998250352879";"5287";"available";""
"5998250352886";"5288";"available";""
"5998250352893";"5289";"available";"2022-06-20"
"5998250352909";"5290";"available";""
"5998250352992";"5299";"available";"2022-02-21"
"5998250353005";"5300";"available";"2022-02-21"
"5998250353012";"5301";"available";"2022-02-21"
"5998250353029";"5302";"available";"2022-02-21"
"5998250353036";"5303";"available";"2022-05-20"
"5998250353043";"5304";"available";"2022-02-21"
"5998250353050";"5305";"available";"2022-05-20"
"5998250353159";"5315";"available";"2022-02-21"
"5998250353166";"5316";"available";"2022-02-21"
"5998250353173";"5317";"available";"2022-02-21"
"5998250353180";"5318";"available";"2022-03-07"
"5998250353197";"5319";"available";""
"5998250353203";"5320";"available";""
"5998250353210";"5321";"available";""
"5998250353227";"5322";"0";"2022-02-21"
"5998250353234";"5323";"0";"2022-02-21"
"5998250353241";"5324";"available";"2022-02-21"
"5998250353258";"5325";"0";"2022-02-21"
"5998250353265";"5326";"0";"2022-06-20"
"5998250353272";"5327";"available";""
"5998250353289";"5328";"available";"2022-06-20"
"5998250353296";"5329";"available";""
"5998250353326";"5332";"available";"2022-05-20"
"5998250353333";"5333";"available";"2022-03-07"
"5998250353340";"5334";"available";""
"5998250353357";"5335";"0";"2022-05-20"
"5998250353364";"5336";"available";"2022-06-20"
"5998250353371";"5337";"available";"2022-06-20"
"5998250353388";"5338";"available";"2022-05-20"
"5998250353395";"5339";"available";"2022-06-20"
"5998250353401";"5340";"available";"2022-06-20"
"5998250353418";"5341";"0";"2022-02-21"
"5998250353425";"5342";"0";"2022-02-21"
"5998250353432";"5343";"0";"2022-03-07"
"5998250353449";"5344";"available";"2022-02-21"
"5998250353456";"5345";"available";""
"5998250353463";"5346";"available";"2022-02-21"
"5998250353470";"5347";"available";"2022-02-21"
"5998250353487";"5348";"available";"2022-03-07"
"5998250353494";"5349";"available";"2022-02-21"
"5998250353517";"5351";"available";"2022-06-20"
"5998250353524";"5352";"available";"2022-05-20"
"5998250353531";"5353";"available";""
"5998250353548";"5354";"available";"2022-02-21"
"5998250353555";"5355";"available";"2022-02-21"
"5998250353562";"5356";"available";"2022-02-21"
"5998250353579";"5357";"available";"2022-02-21"
"5998250353678";"5367";"available";""
"5998250353685";"5368";"available";""
"5998250353692";"5369";"available";""
"5998250353708";"5370";"available";""
"5998250353715";"5371";"available";"2022-08-25"
"5998250353722";"5372";"available";"2022-08-25"
"5998250353739";"5373";"available";""
"5998250353746";"5374";"available";"2022-05-20"
"5998250353753";"5375";"available";""
"5998250353760";"5376";"available";""
"5998250353777";"5377";"available";""
"5998250353784";"5378";"available";""
"5998250353791";"5379";"available";"2022-02-14"
"5998250353807";"5380";"available";"2022-02-14"
"5998250353814";"5381";"available";"2022-02-14"
"5998250353821";"5382";"available";"2022-02-14"
"5998250353838";"5383";"available";""
"5998250353845";"5384";"available";"2022-02-14"
"5998250353852";"5385";"available";""
