"EAN code";"article number";"availability";"next expected arrival"
"5998250310169";"1016";"elérhető";"2022-07-20"
"5998250310176";"1017";"nem elérhető";"2022-04-20"
"5998250310466";"1046";"elérhető";"2022-08-25"
"5998250310473";"1047";"elérhető";"2022-08-25"
"5998250310480";"1048";"elérhető";"2022-08-25"
"5998250310497";"1049";"elérhető";"2022-08-25"
"5998250310503";"1050";"elérhető";"2022-08-25"
"5998250310510";"1051";"elérhető";"2022-08-25"
"5998250310527";"1052";"elérhető";""
"5998250310534";"1053";"elérhető";""
"5998250310541";"1054";"elérhető";""
"5998250310558";"1055";"elérhető";""
"5998250310565";"1056";"elérhető";""
"5998250310572";"1057";"elérhető";""
"5998250310725";"1072";"elérhető";""
"5998250310787";"1078";"elérhető";""
"5998250310794";"1079";"elérhető";""
"5998250310800";"1080";"elérhető";""
"5998250310879";"1087";"elérhető";"2022-04-20"
"5998250310886";"1088";"elérhető";"2022-04-20"
"5998250310893";"1089";"nem elérhető";"2022-04-20"
"5998250310909";"1090";"elérhető";"2022-04-20"
"5998250310916";"1091";"elérhető";"2022-08-25"
"5998250310923";"1092";"elérhető";"2022-08-25"
"5998250310930";"1093";"elérhető";"2022-08-25"
"5998250310954";"1095";"elérhető";"2022-08-25"
"5998250310985";"1098";"elérhető";""
"5998250310992";"1099";"nem elérhető";""
"5998250311005";"1100";"elérhető";""
"5998250311166";"1116";"elérhető";""
"5998250311173";"1117";"elérhető";""
"5998250311203";"1120";"elérhető";""
"5998250311470";"1147";"elérhető";""
"5998250311487";"1148";"elérhető";""
"5998250311593";"1159";"nem elérhető";""
"5998250311609";"1160";"elérhető";""
"5998250311630";"1163";"elérhető";"2022-08-25"
"5998250311661";"1166";"elérhető";"2022-08-25"
"5998250312989";"1298";"nem elérhető";"2022-04-20"
"5998250312996";"1299";"nem elérhető";"2022-04-20"
"5998250313016";"1301";"nem elérhető";"2022-02-25"
"5998250313023";"1302";"elérhető";"2022-02-25"
"5998250313313";"1331";"elérhető";""
"5998250313320";"1332";"elérhető";""
"5998250313382";"1338";"elérhető";""
"5998250313580";"1358";"nem elérhető";"2022-04-20"
"5998250313597";"1359";"elérhető";""
"5998250313818";"1381";"elérhető";""
"5998250313825";"1382";"elérhető";""
"5998250313993";"1399";"nem elérhető";"2022-04-20"
"5998250314006";"1400";"nem elérhető";"2022-04-20"
"5998250314075";"1407";"elérhető";""
"5998250314082";"1408";"elérhető";""
"5998250314099";"1409";"elérhető";""
"5998250314112";"1411";"nem elérhető";"2022-02-21"
"5998250314129";"1412";"elérhető";"2022-02-21"
"5998250314136";"1413";"elérhető";""
"5998250314143";"1414";"elérhető";""
"5998250314150";"1415";"elérhető";""
"5998250314167";"1416";"elérhető";""
"5998250314174";"1417";"nem elérhető";"2022-02-21"
"5998250314181";"1418";"elérhető";"2022-06-20"
"5998250314198";"1419";"elérhető";""
"5998250314204";"1420";"nem elérhető";"2022-04-20"
"5998250314211";"1421";"elérhető";""
"5998250314228";"1422";"elérhető";""
"5998250314235";"1423";"elérhető";""
"5998250314266";"1426";"elérhető";"2022-03-03"
"5998250314273";"1427";"elérhető";"2022-03-03"
"5998250314280";"1428";"elérhető";""
"5998250314297";"1429";"elérhető";""
"5998250314303";"1430";"nem elérhető";"2022-03-07"
"5998250314310";"1431";"elérhető";""
"5998250314327";"1432";"elérhető";""
"5998250314334";"1433";"elérhető";""
"5998250314341";"1434";"elérhető";""
"5998250314358";"1435";"elérhető";""
"5998250314365";"1436";"nem elérhető";""
"5998250314372";"1437";"elérhető";""
"5998250314389";"1438";"elérhető";""
"5998250314396";"1439";"elérhető";""
"5998250314402";"1440";"elérhető";""
"5998250314419";"1441";"elérhető";""
"5998250314426";"1442";"elérhető";"2022-02-22"
"5998250314433";"1443";"nem elérhető";""
"5998250314440";"1444";"elérhető";""
"5998250314457";"1445";"elérhető";""
"5998250314464";"1446";"elérhető";""
"5998250314471";"1447";"elérhető";""
"5998250314488";"1448";"nem elérhető";"2022-02-15"
"5998250314495";"1449";"nem elérhető";"2022-02-15"
"5998250314501";"1450";"nem elérhető";"2022-04-20"
"5998250314518";"1451";"nem elérhető";"2022-04-20"
"5998250314525";"1452";"nem elérhető";"2022-04-20"
"5998250314532";"1453";"nem elérhető";"2022-04-20"
"5998250314549";"1454";"elérhető";""
"5998250314556";"1455";"nem elérhető";"2022-04-20"
"5998250314570";"1457";"nem elérhető";""
"5998250314587";"1458";"elérhető";""
"5998250314594";"1459";"nem elérhető";""
"5998250314600";"1460";"elérhető";""
"5998250314617";"1461";"nem elérhető";""
"5998250314624";"1462";"elérhető";""
"5998250314631";"1463";"elérhető";""
"5998250314648";"1464";"elérhető";""
"5998250314655";"1465";"elérhető";""
"5998250314662";"1466";"elérhető";""
"5998250314679";"1467";"elérhető";""
"5998250314686";"1468";"elérhető";""
"5998250314693";"1469";"elérhető";""
"5998250314709";"1470";"elérhető";""
"5998250314723";"1472";"elérhető";""
"5998250314730";"1473";"elérhető";""
"5998250314747";"1474";"elérhető";""
"5998250314754";"1475";"elérhető";""
"5998250314778";"1477";"elérhető";"2022-05-20"
"5998250314785";"1478";"elérhető";"2022-05-20"
"5998250314792";"1479";"elérhető";""
"5998250314808";"1480";"elérhető";"2022-08-25"
"5998250314815";"1481";"elérhető";"2022-05-20"
"5998250314822";"1482";"elérhető";""
"5998250314839";"1483";"nem elérhető";"2022-04-20"
"5998250314846";"1484";"elérhető";"2022-04-20"
"5998250314853";"1485";"elérhető";""
"5998250314860";"1486";"elérhető";""
"5998250314877";"1487";"elérhető";""
"5998250314884";"1488";"elérhető";""
"5998250314891";"1489";"elérhető";""
"5998250314907";"1490";"elérhető";""
"5998250314914";"1491";"elérhető";""
"5998250314921";"1492";"elérhető";""
"5998250314938";"1493";"elérhető";""
"5998250314945";"1494";"elérhető";""
"5998250314952";"1495";"elérhető";""
"5998250314969";"1496";"elérhető";"2022-06-20"
"5998250314976";"1497";"elérhető";""
"5998250314983";"1498";"elérhető";"2022-02-21"
"5998250315034";"1503";"nem elérhető";""
"5998250315058";"1505";"nem elérhető";""
"5998250315065";"1506";"nem elérhető";""
"5998250315072";"1507";"elérhető";"2022-03-16"
"5998250315089";"1508";"elérhető";"2022-03-16"
"5998250315096";"1509";"elérhető";""
"5998250315102";"1510";"elérhető";""
"5998250315119";"1511";"elérhető";""
"5998250315126";"1512";"elérhető";""
"5998250315157";"1515";"elérhető";""
"5998250315164";"1516";"elérhető";"2022-03-07"
"5998250315171";"1517";"elérhető";""
"5998250315188";"1518";"elérhető";""
"5998250315195";"1519";"elérhető";""
"5998250315249";"1524";"elérhető";""
"5998250315256";"1525";"elérhető";""
"5998250315263";"1526";"elérhető";""
"5998250315270";"1527";"elérhető";"2022-03-31"
"5998250315287";"1528";"elérhető";""
"5998250315294";"1529";"elérhető";""
"5998250315300";"1530";"elérhető";"2022-08-25"
"5998250315317";"1531";"elérhető";"2022-07-20"
"5998250315324";"1532";"elérhető";""
