Article;GTIN;Lifecycle;Freestock;2022-7;2022-8;2022-9
92479;4017807233315;35;0;0;0;0
200970124;4017807211832;30;0;0;0;0
207800100;4017807189148;30;0;0;0;0
216070124;4017807212228;40;0;0;0;0
2502211-07;4017807103908;30;0;0;0;0
2522011-06;4017807080797;30;0;0;0;0
2523011-01;4017807094756;30;0;0;0;0
2803021-06;4017807147599;30;0;0;0;0
2803031-06;4017807147605;30;0;0;0;0
601400106;4017807224580;40;0;0;0;0
602100100;4017807223569;40;0;0;0;0
602100200;4017807223576;40;0;0;0;0
605600307;4017807236996;30;0;0;0;0
605600507;4017807237009;30;0;0;0;0
607800100;4017807189216;30;0;0;0;0
608100224;4017807211795;30;0;0;0;0
608100324;4017807211788;30;0;0;0;0
6101011-01;4017807017557;30;0;0;0;0
6101011-07;4017807028393;30;0;0;0;0
6102021-24;4017807053296;30;0;0;0;0
6105011-01;4017807053968;30;0;0;0;0
6105021-01;4017807098440;30;0;0;0;0
6107011-07;4017807028041;40;0;0;0;0
6107021-07;4017807080704;40;0;0;0;0
6160011-00;4017807131895;30;0;0;0;0
6196011-01;4017807138238;30;0;0;0;0
6196011-07;4017807138245;30;0;0;0;0
621410505;4017807220940;30;0;0;0;0
622713007;4017807226812;40;0;0;0;0
6801011-06;4017807147575;30;0;0;0;0
6801011-07;4017807147582;30;0;0;0;0
220060142;4017807241501;30;0;0;0;0
220060187;4017807241518;30;0;0;0;0
220060242;4017807241525;30;0;0;0;0
220060287;4017807241532;30;0;0;0;0
220160142;4017807241587;30;0;0;0;0
220260142;4017807241617;30;0;0;0;0
220360142;4017807241648;30;0;0;0;0
229160142;4017807242126;30;0;0;0;0
229360242;4017807242164;30;0;0;0;0
229360287;4017807242171;30;0;0;0;0
229160101;4017807243543;40;0;0;0;0
202400106;4017807244908;30;0;0;0;0
602400106;4017807244915;30;0;0;0;0
602400206;4017807244922;30;0;0;0;0
626510901;4017807245196;40;0;0;0;0
626510987;4017807245202;30;0;0;0;0
626511287;4017807245226;30;0;0;0;0
281570606;4017807245967;30;0;0;0;0
281570906;4017807245950;30;0;0;0;0
281770906;4017807246018;40;0;0;0;0
626512501;4017807246797;40;0;0;0;0
626512587;4017807246803;30;0;0;0;0
271170201;4017807247251;30;0;0;0;0
271170202;4017807247268;30;0;0;0;0
271170214;4017807247282;40;0;0;0;0
225210104;4017807256314;30;0;0;0;0
225210107;4017807256338;30;0;0;0;0
603900301;4017807256536;30;0;0;0;0
603900302;4017807256543;30;0;0;0;0
603900314;4017807256550;40;0;0;0;0
624830307;4017807257724;40;0;0;0;0
624830328;4017807257892;40;0;0;0;0
220810201;4017807258363;30;0;0;0;0
220810205;4017807258370;30;0;0;0;0
6801011-01;4017807259056;30;0;0;0;0
220760142;4017807259063;30;0;0;0;0
220960142;4017807259308;30;0;0;0;0
220960187;4017807259322;40;0;0;0;0
220969142;4017807259315;30;0;0;0;0
220969187;4017807259339;40;0;0;0;0
228960101;4017807259124;30;0;0;0;0
228960142;4017807259131;30;0;0;0;0
622811528;4017807262407;30;0;0;0;0
659611006;4017807267174;35;0;0;0;0
628915001;4017807272307;30;0;0;0;0
620160142;4017807274905;30;0;0;0;0
279770104;4017807275346;30;0;0;0;0
279770107;4017807275353;30;0;0;0;0
279770108;4017807275360;30;0;0;0;0
204700101;4017807276541;30;0;0;0;0
225510207;4017807277913;30;0;0;0;0
225610607;4017807277920;40;0;0;0;0
221169142;4017807279290;30;0;0;0;0
228760101;4017807279269;30;0;0;0;0
228760142;4017807279276;30;0;0;0;0
221269142;4017807279665;40;0;0;0;0
228260101;4017807279528;30;0;0;0;0
228260142;4017807279535;30;0;0;0;0
228360101;4017807279603;40;0;0;0;0
228360142;4017807279610;30;0;0;0;0
659011801;4017807280081;30;0;0;0;0
659011887;4017807280098;30;0;0;0;0
659411806;4017807280050;30;0;0;0;0
659412406;4017807280074;30;0;0;0;0
282410106;4017807280821;30;0;0;0;0
282410206;4017807280838;30;0;0;0;0
682410506;4017807280845;30;0;0;0;0
221260142;4017807281484;40;0;0;0;0
228060101;4017807281552;30;0;0;0;0
228060142;4017807281569;30;0;0;0;0
677610106;4017807355345;30;0;0;0;0
221560142;4017807282375;30;0;0;0;0
228460242;4017807284164;30;0;0;0;0
272970401;4017807284652;30;0;0;0;0
272970487;4017807284669;30;0;0;0;0
272970701;4017807284676;30;0;0;0;0
272970787;4017807284683;30;0;0;0;0
273070401;4017807284690;30;0;0;0;0
273070701;4017807284706;30;0;0;0;0
273071301;4017807284713;30;0;0;0;0
273071801;4017807284720;30;0;0;0;0
273170301;4017807284737;30;0;0;0;0
273170387;4017807284744;30;0;0;0;0
273170401;4017807284751;30;0;0;0;0
273170487;4017807284768;30;0;0;0;0
273271801;4017807329094;30;0;0;0;0
273370307;4017807284799;30;0;0;0;0
671510507;4017807285000;40;0;0;0;0
228460231;4017807286267;40;0;0;0;0
656612001;4017807286281;40;0;0;0;0
656613001;4017807286298;35;0;0;0;0
603900201;4017807289688;30;0;0;0;0
603900202;4017807289695;30;0;0;0;0
603900214;4017807289701;40;0;0;0;0
221660242;4017807291544;30;0;0;0;0
274670105;4017807293968;30;0;0;0;0
274670205;4017807293975;30;0;0;0;0
603800287;4017807294088;40;0;0;0;0
603800487;4017807294118;40;0;0;0;0
657010601;4017807294637;30;0;0;0;0
657010607;4017807294675;30;0;0;0;0
657011201;4017807294712;30;0;0;0;0
657011207;4017807294729;30;0;0;0;0
657011801;4017807294743;30;0;0;0;0
657011807;4017807294750;30;0;0;0;0
657110601;4017807294651;30;0;0;0;0
657110607;4017807294668;30;0;0;0;0
657111201;4017807294705;30;0;0;0;0
657111207;4017807294699;30;0;0;0;0
657111801;4017807294767;30;0;0;0;0
657111807;4017807294774;30;0;0;0;0
604000106;4017807295689;40;0;0;0;0
221669242;4017807297614;30;0;0;0;0
227860231;4017807298604;30;0;0;0;0
227860242;4017807298611;30;0;0;0;0
628513001;4017807298819;30;0;0;0;0
628613001;4017807298826;30;0;0;0;0
223810279;4017807299472;30;0;0;0;0
672910106;4017807299274;30;0;0;0;0
221160142;4017807302004;30;0;0;0;0
223410107;4017807303032;40;0;0;0;0
221760142;4017807303551;30;0;0;0;0
221769142;4017807303568;30;0;0;0;0
227760142;4017807303537;30;0;0;0;0
223410131;4017807303025;30;0;0;0;0
223410132;4017807306309;30;0;0;0;0
271970601;4017807337280;40;0;0;0;0
271970611;4017807337297;40;0;0;0;0
224110179;4017807329018;30;0;0;0;0
224110189;4017807329025;40;0;0;0;0
273271201;4017807329087;30;0;0;0;0
221967128;4017807331196;40;0;0;0;0
221969128;4017807331219;40;0;0;0;0
222410205;4017807331349;40;0;0;0;0
609900331;4017807330960;30;0;0;0;0
609900332;4017807330984;30;0;0;0;0
674410331;4017807477108;30;0;0;0;0
621911201;4017807337105;30;0;0;0;0
621911211;4017807337112;30;0;0;0;0
621912401;4017807337143;30;0;0;0;0
621912411;4017807337150;30;0;0;0;0
624110279;4017807337051;30;0;0;0;0
624110289;4017807337068;40;0;0;0;0
271370201;4017807358339;40;0;0;0;0
271370211;4017807358346;40;0;0;0;0
271370214;4017807358353;40;0;0;0;0
675010101;4017807358957;40;0;0;0;0
675090101;4017807358964;40;0;0;0;0
222060142;4017807337624;30;0;0;0;0
227560231;4017807337570;30;0;0;0;0
227560242;4017807337594;30;0;0;0;0
227660231;4017807337600;30;0;0;0;0
227660242;4017807337617;30;0;0;0;0
673012489;4017807337464;40;0;0;0;0
677718000;4017807337686;30;0;0;0;0
207000188;4017807356076;30;0;0;0;0
227560287;4017807346138;30;0;0;0;0
227660287;4017807346145;30;0;0;0;0
282990106;4017807345070;30;0;0;0;0
283090106;4017807345087;40;0;0;0;0
673611201;4017807342277;40;0;0;0;0
677010507;4017807382037;40;0;0;0;0
677010607;4017807382044;40;0;0;0;0
675070101;4017807363173;40;0;0;0;0
226960231;4017807382259;30;0;0;0;0
226960242;4017807382266;30;0;0;0;0
226960287;4017807382273;30;0;0;0;0
222260142;4017807382570;30;0;0;0;0
222260242;4017807382587;30;0;0;0;0
