Supplier ID|Item Number|Qty On Hand|Qty Backordered|Qty On Order|Item Next Availability Date|Item Discontinued|Item Description
MLG|703168|0|0|0||0|CHRISSLINE Nova Garland 5M Real Warm White Start
MLG|703169|462|0|0||0|CHRISSLINE Nova Net 1,7 x 2 Real Warm White  Start
MLG|703170|0|0|0||0|CHRISSLINE Nova Icicle Real Warm White Start
MLG|703171|0|0|0||0|VARIANT Branch LED
MLG|703172|499|0|0||0|PLAN Light Chain Round Decoration 10L WW
MLG|703173|0|0|0||0|LILLAN Light Chain Star Decoration 10L WW
MLG|703174|4|0|0||0|MILLA Light Chain Heart Decoration 10L WW
MLG|703175|5|0|0||0|VÅR Light Chain Butterfly Decoration 10L WW
MLG|703176|0|0|0||0|UDDEHOLM Candle Light Oval Shape E10 7L White
MLG|703177|6|0|0||0|TWIX Lightchain  10L Grey Range
MLG|703178|0|0|0||0|TWIX Lightchain 10L Blue Range
MLG|703179|0|0|0||0|TWIX Lightchain 10L Red Range
MLG|703180|555|0|0||0|DAKKE Light Chain 10LOpal White
MLG|703181|268|0|0||0|DAKKE Light Chain 10LClear
MLG|703196|1|0|0||0|AMMI Glass Ball Snow LED Warm White
MLG|703209|0|0|0||0|AGRO Rattan Ball 55cm
MLG|703210|0|0|0||0|LAND Rattan Heart 3D 57cm
MLG|703213|0|0|0||0|BÄCK Rattan Heart  H 70cm
MLG|703225|0|0|0||0|COMET Sand Stone Ball Star Pattern 40cm
MLG|703231|0|0|0||0|ISABERG Träd 70 cm Rosa
MLG|703233|0|0|0||0|ISABERG Träd 70 cm Blå
MLG|703237|4|0|0||0|BELL Light Chain 10L LED
MLG|703240|27|0|0||0|SIGNE Angel Golden Wing 10L LED
MLG|703244|0|0|0||0|SOLO Lightchain antique silver  Glass Ball 4cm
MLG|703245|26|0|0||0|BIGSOLO Light Chain Glass Ball 6cm
MLG|703246|0|0|0||0|STEVE Bended Tree
MLG|703258|0|0|0||0|NORRDAL Paper Star 75cm White
MLG|703261|0|0|0||0|ISABERG Tree 70cm White
MLG|703262|0|0|0||0|CORDSET with ring and hoop
MLG|703264|0|0|0||0|CHRISSLINE Nova Garland 5M Real Warm White Extra
MLG|703265|0|0|0||0|CHRISSLINE Nova LED Icicle  Real Warm White Extra
MLG|703267|0|0|0||0|UDDEHOLM Candle Light Oval Shape E10 7L Red
MLG|703269|0|0|0||0|STORAGÅRD Pine Tree  150 cm 
MLG|703285|828|0|0||0|JAN Candle Standard LED 10cm White
MLG|703293|0|0|0||0|HARRY Candle Living Flame LED 12cm
MLG|703296|0|0|0||0|SUSSI Metal Tree Floor 80cm
MLG|703297|0|0|0||0|SUSSI Metallträd golv 120cm
MLG|703315|888|0|0||0|DAKKE Light Chain 10L Multicolor
MLG|703320|0|0|0||0|DUVA Paper Star Table 75cm White
MLG|703322|0|0|0||0|TRANSFORMER For Battery Items ersätts av 703657
MLG|703323|600|0|0||0|HAGABERG Star Table 20L LED 45CM Silver
MLG|703324|1601|0|0||0|HAGABERG Heart Table 20L LED 43CM Silver
MLG|703325|0|0|0||0|BORE Decoration 60L 40CM Silver LED
MLG|703326|0|0|0||0|MELLA Candle Light With Butterfly Rectangle 7L
MLG|703331|166|0|0||0|HÄRNÖSAND Star LED 30cm acrylic
MLG|703332|0|0|0||0|HÄRNÖSAND Star LED 40cm Acrylic
MLG|703333|0|0|0||0|HÄRNÖSAND Star LED 52cm Acrylic
MLG|703336|0|0|0||0|CISSI Curtain 105L LED
MLG|703342|8|0|0||0|BYNÄS Metal Net Star Pendant 43CM Copper
MLG|703347|0|0|0||0|MÅSESKÄR 5 Candlestick Wood White/Copper
MLG|703355|459|0|0||0|CHRISSLINE OriginalLight chain 50L LED Start Multi
MLG|703356|26|0|0||0|CHRISSLINE Original Ljusslinga 50LED Extra Multi
MLG|703357|558|0|0||0|SKEN Light Chain 120L LED Multicolor
MLG|703358|1803|0|0||0|SKEN Light chain 80L LED Multicolor
MLG|703359|1407|0|0||0|SKEN Light chain 40L LED Multicolor
MLG|703365|0|0|0||0|BJÖRKGÅRDEN Metal Star Table Mini LED Copper
MLG|703366|0|0|0||0|MÄRTA Pendant  Paper Star 60cm Bronze
MLG|703367|0|0|0||0|MÄRTA Table Star 40cm bronze
MLG|703384|0|0|0||0|BORKEN Candlestick 21L  B/O White
MLG|703393|0|0|0||0|NORDGÅRD Star LED 40cm B/O With Connector Copper
MLG|703396|0|0|0||0|VALTER Candle Stick 5L White Small
MLG|703405|0|0|0||0|ALMEDAL Fiber Optic Village  Candy House 
MLG|703406|0|0|0||0|NORRVIK Fiber Optic Village Turning Train
MLG|703408|0|0|0||0|BORKEN Candlestick 21LConnector B/O Silver 
MLG|703409|0|0|0||0|SVÄRDSJÖ Candle Light 7L Black
MLG|703416|0|0|0||0|ALM Tree 30L IP44 Rattan
MLG|703417|0|0|0||0|ANSGAR Glass Star 42CM Black
MLG|703418|0|0|0||0|ANSGAR Glass Star 50CM Black
MLG|703419|0|0|0||0|ANSGAR Glass Star 42CM . Rough golden style .
MLG|703420|0|0|0||0|ANSGAR Glass Star 50CM. Rough golden style.
MLG|703428|0|0|0||0|FLASH Light Chain 160L 8Line 1 mtr 
MLG|703429|748|0|0||0|FLASH Light Chain 320L 16 Line 1,5 mtr 
MLG|703430|0|0|0||0|FLASH Light Chain 700L 25Line 3 mtr 
MLG|703431|0|0|0||0|GERMUND Lantern 1L 34CM Black
MLG|703433|0|0|0||0|GERMUND Lantern 1L 20CM Black
MLG|703434|0|0|0||0|SIGISMUND Glass Star 38CM Black
MLG|703436|1765|0|0||0|ARTUR Star Pendant Silver 50cm
MLG|703437|0|0|0||0|ARTUR Decoration 70cm 50L LED Silver
MLG|703438|265|0|0||0|RONNY Star Table 30LED W/connect
MLG|703440|0|0|0||0|ARJA Ball 25CM 35LED Silver W/connector timer
MLG|703441|62|0|0||0|SIGGE Light Chain 20LED Silver W/connector timer
MLG|703442|0|0|0||0|JULLE Wreath Pendant 30LED 33CM W/connector timer
MLG|703457|0|0|0||0|VIT Light Chain Ball 10LED White W/connector
MLG|703458|0|0|0||0|SKÖN Light Chain Ball 10LED White W/connector
MLG|703473|0|0|0||0|BERG Star Table 80CM Rattan
MLG|703477|0|0|0||0|ALSJÖ Paper Star Table White
MLG|703478|0|0|0||0|BOSJÖN Paper Star White
MLG|703479|0|0|0||0|ALSJÖ Paper Star  White
MLG|703480|532|0|0||0|ALNÄS Paper Star  White
MLG|703481|0|0|0||0|BODA Paper Star  White
MLG|703483|0|0|0||0|EGIL Candle Light 7L White
MLG|703487|0|0|0||0|MOHED  Paper Star  White
MLG|703493|0|0|0||0|TOR Candle Light 5L Black 
MLG|703506|611|0|0||0|TRENTON Star With Frame 40CM Antique White
MLG|703515|2|0|0||0|TWIX Lightchain 10LED Purple/Dark Purple/White
MLG|703516|0|0|0||0|TWIX Lightchain 10LED Brown/Dark Brown/White
MLG|703519|686|0|0||0|MÄSTER Candlestick 5L Chrome 
MLG|703520|0|0|0||0|KÄLLSJÖ Candle Light 5L
MLG|703526|0|0|0||0|SIGISMUND Glass Star 38CM rough golden style .
MLG|703541|1129|0|0||0|TWIX Lightchain 10LED Natural Jute
MLG|703542|0|0|0||0|SAGA Candle 2pcs/set Plastic
MLG|703545|84|0|0||0|BYNÄS Pendant Star Net 50cm Grey
MLG|703551|282|0|0||0|ELIN Paper Star Gold/Green
MLG|703552|0|0|0||0|ELIN Pendant Star Gold/Blue
MLG|703553|372|0|0||0|ELIN Pendant Star White/Red
MLG|703555|0|0|0||0|GYLLING Candle Light 7L Golden
MLG|703557|0|0|0||0|ALBERT Santa 1L Warm White W/connector
MLG|703558|0|0|0||0|MANNE Santa 1L Cool White W/connector
MLG|703559|0|0|0||0|SELMA Straw Goat 40CM
MLG|703561|0|0|0||0|BERTA Straw Ring 30CM
MLG|703562|0|0|0||0|TORA Straw Star 35CM
MLG|703564|0|0|0||0|ANNA Straw Flower 44CM
MLG|703571|0|0|0||0|FIONA 2 star table decoratio
MLG|703576|0|0|0||0|WORD Decoration Jul LED White
MLG|703577|0|0|0||0|NANNA Pendant Star White
MLG|703578|0|0|0||0|BROSA Candle Light Black
MLG|703579|0|0|0||0|BROLLE Candle Light White
MLG|703588|0|0|0||0|WORD Decoration Jul LED Grey
MLG|703590|158|0|0||0|WORD Decoration Xmas LED Grey
MLG|703614|1429|0|0||0|NANNA Paper Star 75 cm Golden
MLG|703617|1916|0|0||0|MINI Light chain 10LED Silver
MLG|703618|1295|0|0||0|MINI Light Chain 10LED Copper
MLG|703620|0|0|0||0|CARO Wood star Pendant White
MLG|703636|1325|0|0||0|GLITTER Light Chain 40 LED Black Cable IP
MLG|703637|1174|0|0||0|GLITTER  Light Chain 80 LED 24V/trafo IP44
MLG|703638|0|0|0||0|GLITTER  Light Chain 120 LED 24V/trafo IP4
MLG|703639|0|0|0||0|GLITTER  Light Chain 200 LED 24V/trafo IP4
MLG|703640|854|0|0||0|GLITTER net 32LED 1x1m 24V/trafo IP44
MLG|703641|0|0|0||0|GLITTER net 64LED 2x2m 24V/trafo IP44
MLG|703643|86|0|0||0|GLITTER 160LED Net 1,5x2M 24V 
MLG|703644|0|0|0||0|GLITTER Net  208LED 3x3m
MLG|703647|0|0|0||0|GLITTER Girlang 5m 120LED
MLG|703648|8999|0|0||0|TWISTER Cable rotator 2-p Black
MLG|703649|1|0|0||0|SKÖN Light Chain Ball 10LED White Transformer
MLG|703652|589|0|0||0|TWIX Lightchain 10LED White
MLG|703655|0|0|0||0|MALTE Candle Light Mini 5L
MLG|703656|0|0|0||0|TORPA Candle Light Small 7L White
MLG|703657|693|0|0||0|TRANSFORMER White 3.5V
MLG|703659|0|0|0||0|MINI Light Chain 20LED 20 Copper
MLG|703660|0|0|0||0|GLITTER Net Light Chain 96 LED  3x3M
MLG|703664|765|0|0||0|BULB E10 55V 3W Round Clear
MLG|703665|326|0|0||0|BULB E10 24V 1.8 W to Gylling 3-p
MLG|703688|962|0|0||0|INCANDESCENT Bulb  G45 5W For Lantern 
MLG|703689|0|0|0||0|NYGÅRDEN Star Pendant 48 cm E14 White Plastic
MLG|703737|1984|0|0||0|GLIMRA Icicle 100LED
MLG|703738|0|0|0||0|GLIMRA Light Chain 120LED
MLG|703739|0|0|0||0|GLIMRA Light Chain 160LED 24V
MLG|703740|0|0|0||0|GLIMRA Light Chain 200LED 24V
MLG|703741|1560|0|0||0|GLIMRA Light Chain 80LED 24V
MLG|703742|0|0|0||0|GLIMRA Garland 80LED 24V 5M 
MLG|703743|66|0|0||0|GERMUND Spareglass small
MLG|703744|62|0|0||0|GERMUND Spareglass big
MLG|703745|35|0|0||0|TAVLA  Table Dekoration Frohe W 34x18 Brun
MLG|703746|0|0|0||0|TAVLA Table Dekoration 10x15 brun
MLG|703747|23|0|0||0|PRINCE Lightchain 10L LED White
MLG|703750|1544|0|0||0|PRINCE Table decoration 10x23  White
MLG|703751|693|0|0||0|PRINCE Pendant Decoration Ring 35cm White
MLG|703752|1350|0|0||0|PRINCE Pendant Decoration Star 32 cm White
MLG|703755|0|0|0||0|SPIRIT Pendant Decoration 30 cm Gold
MLG|703756|0|0|0||0|SPIRIT Pendant Decoration 50cm Gold
MLG|703757|1294|0|0||0|GLÖD Lightchain 10L  Frosted
MLG|703758|0|0|0||0|GLÖD Lightchain 6 bulbs Clear
MLG|703759|654|0|0||0|GLÖD Decoration 6 Clear bulbs Kluster
MLG|703762|0|0|0||0|GREN Pendant Decoartion 30cm Grey
MLG|703763|392|0|0||0|GREN Lightchain 20L Grey
MLG|703764|0|0|0||0|HALM Pendant Decoration 50cm Nature/Black
MLG|703768|0|0|0||0|FLASH Lightchain 240L 2 Mtr  Black 12 LIne 
MLG|703769|0|0|0||0|TAVLA Decoration 6L 30x20 God Jul  Brown
MLG|703774|2042|0|0||0|GARDENER  Decoration Star 32 cm Grey
MLG|703775|2299|0|0||0|GARDENER Decoration Tree 37cm Grå
MLG|703777|763|0|0||0|SKÅR Table Dekoration Star White 
MLG|703779|273|0|0||0|SUNDSTORP 5 Candlestick Wooden  E10 White 
MLG|703780|0|0|0||0|SOLBERG Table Decoration Ring E27 Black Golden
MLG|703781|519|0|0||0|BIGSOLO Lightchain 10L  6cm Copper
MLG|703782|0|0|0||0|HYDRA Pendant Deco Effect 50cm 96 LED Chrome
MLG|703783|0|0|0||0|JÄRNERUD Table Deco Star 10L  Antique Grey
MLG|703784|742|0|0||0|JÄRNERUD Table Deco Tree 10L  Antique Grey
MLG|703785|559|0|0||0|JÄRNERUD Candlebridge7L  Antique Grey
MLG|703788|0|0|0||0|OPTIKA Lightchain 10L Clear IP44
MLG|703789|0|0|0||0|KLOT Pendant Decoration 5L B/O Clear
MLG|703790|0|0|0||0|MÄSTER Candle stick  5L  Copper
MLG|703791|1669|0|0||0|MÄSTER Candlestick  5L Gold
MLG|703792|0|0|0||0|VIST Lightchain Tree 150 CM  IP44
MLG|703795|0|0|0||0|RONNY Table Decoration Double Star Grey
MLG|703799|102|0|0||0|LÖVÅSA 5 Candlestick Wood Red 
MLG|703800|1176|0|0||0|LÖVÅSA 5 candlestick Wood  White 
MLG|703801|0|0|0||0|BODANE TableDecoration 55 cnm  Star Grey
MLG|703802|1286|0|0||0|BODANE Pendant Deco Star 40 cm Grey
MLG|703803|0|0|0||0|EKHOLM Pendant Dec 28cm E14 Black
MLG|703804|0|0|0||0|EKHOLM Pendant Deco  45cm E27 Black
MLG|703805|2411|0|0||0|VIKHEM Table Decoration 42 cm  Star Grey
MLG|703806|0|0|0||0|VIKHEM Table Decoration Heart 42 cm Grey
MLG|703807|0|0|0||0|BROSA Candlestick 7L Golden
MLG|703808|0|0|0||0|PRINCE Candlestick 5L White
MLG|703810|8|0|0||0|GRAFIK Pendant Paperstar 75cm Grey/White
MLG|703818|0|0|0||0|BOSSE Christmastree base Outdoor Black
MLG|703819|1335|0|0||0|NYGÅRDEN Tabledeco Angels in line 10 LED B/O
MLG|703820|0|0|0||0|BERG Decoration Lantern  Grey IP44
MLG|703821|0|0|0||0|AGRO Decoration Ball 40cm IP44 Grey
MLG|703822|0|0|0||0|SUNDSTORP 5 Candlestick Wood  E10 Blue
MLG|703823|0|0|0||0|SUNDSTORP 5 Candlestick Wood E10 Grey 
MLG|703824|0|0|0||0|STUBB Candlestick  5L Nature Rough
MLG|703826|201|0|0||0|RAMSTA Table Decoration 37cm E14 White
MLG|703827|152|0|0||0|RAMSTA Table Decoration 50cm E14 White
MLG|703829|0|0|0||0|NORBY Candlestick E14  Marble Bulb included
MLG|703830|0|0|0||0|BJURFORS 5 Candlestick Wood Grey
MLG|703832|0|0|0||0|NORBY Table Star  Marble Black/ Grey star
MLG|703833|0|0|0||0|PALLAS  Pendant Star 75cm Slim  White
MLG|703834|0|0|0||0|PALLAS Pendant Star 75cm Grey
MLG|703835|0|0|0||0|BJURFORS 5 Candlestick Wood E10 White 
MLG|703836|232|0|0||0|BJURFORS 5 Candlestick Wood E10 Red 
MLG|703837|75|0|0||0|ASPLIDEN Pendant 20L 15 cm B/0 Clear
MLG|703839|18|0|0||0|ATTARP Pendant Deco Glassball 18cm B/O
MLG|703840|1|0|0||0|KÄLLA Table Deco Lantern  Antique
