"Item number","Product name (English)",Category,"Web category",Colli,box,"Country of origin","Related products","Last updated",Status,Inventory,"Inventory incl. future deliveries","Date available","Must be assembled","Master box length (cm)","Master box width (cm)","Master box height (cm)","Product box length (cm)","Product box width (cm)","Product box height (cm)",CBM,"CBM - Product","Suitable for package shipment","Wholesale price (EUR)","Retail price (EUR)",EAN,Materials,FSC,Colour,Size,"Net weight (g)","Gross weight (g)","Wattage (W)",Socket,"CE approved","CCC approved","Longevity (hrs)",Kelvin,"Cable length (cm)",Dimmable,"Incl. Bulb",Battery,"Image URL",Packshots01,Packshots02,Packshots03,Packshots04,Packshots05,Packshots06,Packshots07,Packshots08,Packshots09,Packshots10,Close-ups01,Close-ups02,Close-ups03,Close-ups04,Close-ups05,Close-ups06,Close-ups07,Close-ups08,Close-ups09,Close-ups10,Styleshots01,Styleshots02,Styleshots03,Styleshots04,Styleshots05,Styleshots06,Styleshots07,Styleshots08,Styleshots09,Styleshots10,"Plug type",Connection,"Link - CE certificate",Diameter
991119,"Spot Knobs (set of 3)","General,Racks,Sets","Hooks & coat racks - Hooks",6,6,China,,"31.01.2022 23:05",Active,1045,2245,31.01.2022,No,35,15,22,13,11,10,"0,012","0,002",Yes,"17,50","49,00",5712772072677,Iron,No,"Light grey,Black,Grey","ø2xh3, ø4xh3, ø6xh3cm",170,187,0,,No,No,0,0,0,No,No,,https://images.hubsch-interior.com/images/991119.jpg,https://images.hubsch-interior.com/images/991119.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2, 4, 6"
991120,"Cone Knobs (set of 3)","General,Racks,Sets,Wood","Hooks & coat racks - Hooks",6,6,China,,"31.01.2022 23:05",Active,1453,2653,31.01.2022,No,35,15,22,13,11,10,"0,012","0,002",Yes,"17,50","49,00",5712772072684,"Iron,Rubber wood",No,"Brass,Brushed nickel,Nature","ø4xh2, ø2xh2, ø6xh2cm",1.000,1.100,0,,No,No,0,0,0,No,No,,https://images.hubsch-interior.com/images/991120.jpg,https://images.hubsch-interior.com/images/991120.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2, 4, 6"
991121,"Form Toilet Paper Holder","General,Racks","Hooks & coat racks - Hooks",4,4,China,,"31.01.2022 23:05","To be discontinued",0,480,19.04.2022,No,39,33,37,31,18,17,"0,048","0,012",Yes,"20,50","57,00",5712772072691,Iron,No,Brass,28x14xh13cm,3.000,3.300,0,,No,No,0,0,0,No,No,,https://images.hubsch-interior.com/images/991121.jpg,https://images.hubsch-interior.com/images/991121.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss20_152.jpg,,,,,,,,,,,,,0
991122,"Pipe Towel Holder Brass","General,Racks","Hooks & coat racks - Coat racks,Hooks & coat racks - Hooks,Shelf units & storage - Drying & Clothes Racks",4,4,China,,"31.01.2022 23:05",Active,641,641,31.01.2022,No,77,18,22,17,5,75,"0,030","0,008",Yes,"26,50","74,00",5712772072707,Iron,No,Brass,17x73cm,3.000,3.300,0,,No,No,0,0,0,No,No,,https://images.hubsch-interior.com/images/991122.jpg,https://images.hubsch-interior.com/images/991122.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss20_152.jpg,,,,,,,,,,,,,0
991123,"Rope Floor Lamp Nickel","General,Lighting","Lighting - Floor lamps",2,1,China,,"31.01.2022 23:05",Active,301,601,31.01.2022,Yes,80,58,21,80,58,21,"0,097","0,097",Yes,"96,00","230,00",5712772072714,Iron,No,"Brushed nickel","66x167cm, E27",3.200,3.520,40,E14,Yes,Yes,0,0,180,No,No,,https://images.hubsch-interior.com/images/991123.jpg,https://images.hubsch-interior.com/images/991123.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss21_067.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_020.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_145.jpg,https://images.hubsch-interior.com/images/hubsch_ss20_161.jpg,,,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991123.pdf,0
991124,"Embrace Saucers Brass (set of 3)","General,Sets","Pottery & Watering cans - Plant Pots",4,4,China,,"31.01.2022 23:05",Active,416,932,31.01.2022,No,40,36,40,38,8,38,"0,058","0,014",Yes,"63,00","160,00",5712772072721,Iron,No,Brass,"ø19xh2, ø27xh4, ø33xh4cm",1.100,1.210,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/991124.jpg,https://images.hubsch-interior.com/images/991124.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw21_021.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_122.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_104.jpg,https://images.hubsch-interior.com/images/hubsch_ss21_002.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_129.jpg,https://images.hubsch-interior.com/images/hubsch_ss21_056.jpg,,,,,,,,"19, 27, 33"
991125,"Ripple Lanterns Black (set of 2)","General,Sets","Candlesticks & lanterns - Lanterns",2,2,China,,"31.01.2022 23:05",Active,124,438,31.01.2022,No,61,58,53,56,29,51,"0,188","0,094",No,"71,00","180,00",5712772072745,"Glass,Iron",No,"Black,Textured","22x22xh40, 22x22xh46cm",880,968,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/991125.jpg,https://images.hubsch-interior.com/images/991125.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss20_98.jpg,https://images.hubsch-interior.com/images/hubsch_aw22_151.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_103.jpg,,,,,,,,,,,0
991126,"Wave Planter","General,Vases","Pottery & Watering cans - Planters",4,4,China,,"31.01.2022 23:05","To be discontinued",186,186,31.01.2022,No,47,45,39,21,18,45,"0,082","0,021",Yes,"35,50","92,00",5712772072738,Iron,No,Red,40x16xh14cm,1.100,1.210,0,,,,0,0,0,,,,https://images.hubsch-interior.com/images/991126.jpg,https://images.hubsch-interior.com/images/991126.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss20_154.jpg,https://images.hubsch-interior.com/images/hubsch_ss20_108.jpg,,,,,,,,,,,,0
991127,"Curve Candlestick Blue",General,"Candlesticks & lanterns - Candlesticks",12,12,China,,"31.01.2022 23:05",Active,437,1037,31.01.2022,No,36,25,19,36,25,19,"0,017","0,001",Yes,"10,00","28,00",5712772073230,Iron,No,Blue,ø9xh7cm,2.000,2.200,0,,No,No,0,0,0,No,No,,https://images.hubsch-interior.com/images/991127.jpg,https://images.hubsch-interior.com/images/991127.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
991128,"Curve Candlestick Orange",General,"Candlesticks & lanterns - Candlesticks",12,12,China,,"31.01.2022 23:05","To be discontinued",0,352,04.05.2022,No,36,25,19,36,25,19,"0,017","0,001",Yes,"10,00","28,00",5712772073247,Iron,No,"Amber,Brown",ø9xh7cm,2.000,2.200,0,,No,No,0,0,0,No,No,,https://images.hubsch-interior.com/images/991128.jpg,https://images.hubsch-interior.com/images/991128.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
